case_id,tau,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_pre,curve_mae_pre,curve_rmse_pre,curve_bias_post,curve_mae_post,curve_rmse_post,post_minus_pre_rmse,post_minus_pre_mae,true_beta,true_gamma,true_R0,rho0,eta,severity
10,30,0.66,0.88,0.0030164781771600245,0.01742303101345897,0.024171611942385565,-0.003997377182046572,0.01569422980149587,0.022146710010052903,0.01353726121596992,0.020016232831403614,0.026924931073804535,0.004778221063751632,0.004322003029907744,0.8038212910639586,0.07123776024095313,11.283640703260884,1.0,0.8885889769884483,mild
11,18,0.7,1.0,-0.006366349910385907,0.011927417418919504,0.014714463888003322,-0.006264758891322547,0.012814460503351357,0.01562986304861365,-0.006423494858609047,0.011428455683926586,0.014173594766144543,-0.0014562682824691055,-0.0013860048194247708,0.3238719434311089,0.31912832531902524,1.0148642966973915,1.0,0.978698925855022,mild
12,27,0.56,0.96,-0.00031024464056827127,0.016685038831783457,0.021119516009613946,0.0006131457889245616,0.02157802081287459,0.02585846283164684,-0.0013942247099729011,0.010941103462676478,0.013590078100031763,-0.012268384731615078,-0.010636917350198113,0.8181691861506857,0.14145428906121948,5.7839828794204555,1.0,0.9427844016588235,mild
13,26,0.5,0.94,0.0002810254297219217,0.014766946153249591,0.01795421061020398,0.0011035974916572182,0.013745908388115752,0.017304080281700548,-0.0006100943040413161,0.01587307039881125,0.018632937768789617,0.0013288574870890697,0.0021271620106954985,0.4084812812293266,0.2504221632829084,1.631170643501928,1.0,0.8877539655059574,mild
14,11,0.66,0.98,-0.005894922773586586,0.013455607526702806,0.018110256305001127,-0.004545176803896373,0.014720889464528724,0.021518513571729746,-0.006275620354781262,0.013098733133982675,0.017026042256539867,-0.004492471315189879,-0.0016221563305460485,0.5768376673996122,0.4730841391115519,1.2193130559881136,1.0,0.8647757053866497,mild
15,27,0.5,0.94,0.001686942595988512,0.017572092432528733,0.020793345900505543,-0.003739096776202873,0.016577629579438105,0.020170727959193478,0.008056640989430573,0.018739505347026432,0.021501252232492652,0.0013305242732991746,0.002161875767588327,0.9747686208670832,0.09186883266130566,10.61043873781197,1.0,0.8592441285131733,mild
16,11,0.56,0.92,-0.004762578651061631,0.014152713859584765,0.018511745757319866,-0.00804329714314504,0.018026046285575085,0.019854321579399578,-0.0038372477943201563,0.013060235483023392,0.01811508905688929,-0.0017392325225102888,-0.004965810802551693,0.8026004559493382,0.2488160738059903,3.225677680997213,1.0,0.9952998826507381,mild
17,16,0.76,0.98,-0.0061300244808080604,0.010577795359131415,0.014963421380153994,-0.0066280495302635245,0.013079710806778166,0.016065886950896637,-0.0058956597516525485,0.009400423383768237,0.014415469013302661,-0.001650417937593976,-0.003679287423009929,0.48599580521438634,0.4694343469120305,1.0352796049358088,1.0,0.9288614985002781,mild
18,21,0.8,0.96,-0.00416871418840401,0.009734490390269458,0.014299230150658265,-0.0035209841028388056,0.010817588628491475,0.015822359214368892,-0.004637760112433986,0.00895017787293627,0.013086069286545364,-0.0027362899278235275,-0.0018674107555552051,0.13987538898668073,0.4501426760732192,0.3107356765345415,1.0,0.896403807937934,mild
19,12,0.8,0.98,-0.0029412451200187205,0.008227739594876765,0.011572634026718912,-0.0007065460037362451,0.007553924132177296,0.009992486834785961,-0.003646939577792134,0.008440523425202915,0.012028579342656533,0.0020360925078705717,0.0008865992930256186,0.3428440512899446,0.4908563002374264,0.6984611405091704,1.0,0.9222409161185908,mild
20,18,0.54,1.0,0.002418277362594381,0.017800064409384503,0.021042457658106258,5.2255646248037614e-05,0.013582606246927753,0.015258699217893416,0.003749164578039199,0.020172384625766426,0.023683029909265463,0.008424330691372047,0.006589778378838673,0.3546530781427295,0.23424459044779466,1.5140288937505684,1.0,0.981852762364358,mild
21,30,0.34,0.9,-0.001935836272314191,0.02108836538158357,0.024690171587458867,-0.0054499790072441105,0.02064277809113264,0.024076845061195166,0.003335377830080688,0.02175674631725997,0.025582606012566535,0.001505760951371369,0.0011139682261273286,0.45502054930890345,0.19800600835441223,2.298013848622509,1.0,0.9796486720713342,mild
