metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6302,0.11760213699700625,0.62,0.46,0.8209999999999998
pointwise_empirical_90,0.9436,0.038284422023807135,0.94,0.88,1.0
curve_bias_full,-0.002124213960534894,0.0057232366842947715,-0.0040063510398613295,-0.007217764286950114,0.006767128708772358
curve_mae_full,0.014499518766070947,0.004276778463671868,0.01402814660335025,0.008551517813541751,0.021005180023144932
curve_rmse_full,0.01865219711828737,0.004829683963513953,0.018197114317655843,0.011345887096428127,0.02515551338083539
curve_bias_pre,-0.004774489394207478,0.004633094188190953,-0.005185210577139283,-0.011641474629943378,0.0018044801603341065
curve_mae_pre,0.015107529466237921,0.0037776090879752897,0.014718284426777105,0.009146686234875006,0.021872883028533706
curve_rmse_pre,0.01890511360692077,0.0043274756709825125,0.0187089817308661,0.011703936034404632,0.02645590581672794
curve_bias_post,-0.00019145643145715457,0.009420485769675692,-0.0027257674827882456,-0.007854003831818819,0.016130309787833884
curve_mae_post,0.014138846797159273,0.006644868854759341,0.013115091364866552,0.007053063144828359,0.021541362051752264
curve_rmse_post,0.018066303757783276,0.006994920850445821,0.01775297230277444,0.009929434014972923,0.026544120650188532
post_minus_pre_rmse,-0.0008388098491374894,0.006898398899475533,-0.0012918907563509033,-0.009612249722083821,0.0078111416193171876
post_minus_pre_mae,-0.00096868266907865,0.0064156035841143825,-0.0013688032676226515,-0.010102761850343197,0.005748072713360266
