quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.13,-0.37,0.9,0.22,-0.68,0.07425355708996202,0.1890851349027517
gamma,0.5,0.38,-0.12,0.9,0.7,-0.20000000000000007,0.07592901837007406,0.1478463862450217
R0,0.5,0.13,-0.37,0.9,0.23,-0.67,0.3072510520086572,0.7391108315899629
