quantity,bias_mean_est,bias_median_est,MAE_median_est,RMSE_median_est,corr_truth_vs_median,avg_post_std
beta,0.20100727164262197,0.19102214918683608,0.20355946395246258,0.2364496135349331,0.8868085839171165,0.06022507171555944
gamma,0.0071656317504522615,0.01217188248402993,0.05716743480870336,0.08365469497526214,0.786386626798375,0.04755652239608242
R0,0.8298029904826071,0.8140670030603262,0.817268157842269,1.124112240023766,0.9876295440588212,0.22885374057493402
