quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.48,-0.020000000000000018,0.9,0.83,-0.07000000000000006,0.06571481187933789,0.15229756332837893
gamma,0.5,0.42,-0.08000000000000002,0.9,0.84,-0.06000000000000005,0.07213514854070363,0.15832957357502997
R0,0.5,0.62,0.12,0.9,0.94,0.039999999999999925,0.29104416381347425,0.7730212729531634
