quantity,bias_mean_est,bias_median_est,MAE_median_est,RMSE_median_est,corr_truth_vs_median,avg_post_std
beta,0.027790111121198318,0.022502130263845944,0.039873192444885755,0.06632234310708723,0.8863676423959591,0.04699135042147537
gamma,0.034081267378383746,0.04002889549590122,0.056141988001367035,0.09670311361724944,0.6040438394931045,0.049108503840153715
R0,0.0111793823888594,-0.0046433563402588605,0.13301749658531187,0.2023367132140127,0.9885640968612575,0.23690194196179593
