feature,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,bias_mean_pred,bias_median_pred,MAE_median_pred,RMSE_median_pred,avg_pred_std,avg_width50,avg_width90
peak_time,0.5,0.64,0.14,0.9,0.93,0.030000000000000027,0.18609999999999993,-0.315,4.925,7.911226200785817,6.846413040965111,10.6525,21.017000000000003
peak_height,0.5,0.5,0.0,0.9,0.78,-0.12,-0.01512980896383524,-0.016801842655986547,0.021116321068257095,0.03177038258303715,0.02038062263951703,0.023887340258806945,0.06038248953595757
cumulative_infected,0.5,0.75,0.25,0.9,1.0,0.09999999999999998,0.012279777283556417,-0.042711751906863354,0.14393463512162272,0.2606358825074082,0.36988205393000684,0.37616268428046395,1.0214643986910348
early_growth_slope,0.5,0.47,-0.030000000000000027,0.9,0.92,0.020000000000000018,-0.0010126853165408841,-0.0009315440676296237,0.0025272932782118437,0.0034790590949271287,0.0033765657790808925,0.004262188908184855,0.010523434004288394
