quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.36,-0.14,0.9,0.66,-0.24,0.07470749317758106,0.18543586207540755
gamma,0.5,0.27,-0.22999999999999998,0.9,0.5,-0.4,0.0655025806434574,0.1329649781295415
R0,0.5,0.18,-0.32,0.9,0.57,-0.33000000000000007,0.2786946138747686,0.6828990500965603
