case_id,true_beta,true_gamma,true_R0,rho0,tau,eta,severity,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.5954778684770071,strong,0.43997005106270193,0.43952114623906263,0.08018411648213011,0.38410482767209475,0.4954315184598458,0.3065201619941788,0.5732083850206616,0.11132669078775104,0.2666882230264828,0.36521580602722586,0.3741620295213101,0.06838472777531755,0.32216965367826805,0.417904148625696,0.23175958559268714,0.45997988108670257,0.09573449494742797,0.22822029549401543,1.2243700346342212,1.2163544765418552,0.20112876704320595,1.0970094164644477,1.330552945282453,0.9175873222474504,1.5724665941650546,0.23354352881800522,0.6548792719176042,1.0,1.0,-0.008107032644357748,-0.008555937467997043,0.008555937467997043,7.320406595627566e-05,0.0,1.0,0.048565280253205,0.05751150374728925,0.05751150374728925,0.0033075730632744654,0.0,1.0,-0.19068235667881894,-0.19869791477118492,0.19869791477118492,0.03948086133441707
1,0.8656992231773614,0.3773758848611094,2.2939971998899082,1.0,25,0.4672481667567431,strong,0.8575052072796029,0.8609714422348278,0.03283830329685226,0.8380903008856255,0.8808372584448886,0.7982084564448441,0.9048399173889481,0.042746957559263055,0.10663146094410403,0.38913585950439183,0.38823319823245406,0.018147292272724175,0.37640160751467616,0.4018465356851337,0.36088002333727304,0.4204196958606538,0.025444928170457515,0.05953967252338077,2.2060709040402298,2.1999773744830797,0.08720508459039765,2.1452326788277123,2.2617710725083944,2.0723950088869514,2.359631269469379,0.11653839368068208,0.2872362605824277,1.0,1.0,-0.008194015897758478,-0.004727780942533566,0.004727780942533566,2.2351912640583572e-05,1.0,1.0,0.011759974643282434,0.010857313371344657,0.010857313371344657,0.00011788125364357948,0.0,1.0,-0.08792629584967848,-0.09401982540682852,0.09401982540682852,0.008839727569530517
2,0.13040313045335356,0.31647758845704255,0.41204538712874444,1.0,13,0.325329188392009,strong,0.17963006569850376,0.14222678431928565,0.09839774887401218,0.11263192237769296,0.20594963125892873,0.10092255100207397,0.40034032038497913,0.09331770888123578,0.29941776938290515,0.28674257990664287,0.2938380575117845,0.12600857488588188,0.17800824292490947,0.3934778555337063,0.08690829804434202,0.47677710327693135,0.21546961260879682,0.3898688052325893,0.7049123095130578,0.636940020332819,0.32514548195778903,0.4594077857888477,0.8898300317871839,0.29877123328484567,1.3199454261761274,0.4304222459983362,1.0211741928912819,1.0,1.0,0.049226935245150205,0.011823653865932093,0.011823653865932093,0.00013979879074137093,1.0,1.0,-0.029735008550399677,-0.022639530945258057,0.022639530945258057,0.0005125483614212972,0.0,1.0,0.2928669223843134,0.2248946332040746,0.2248946332040746,0.050577596043995254
3,0.5228990509942999,0.18446438505338342,2.8346883917075623,1.0,24,0.34050228896349005,strong,0.5628915826412533,0.5631504663968946,0.012929246926954921,0.5540448900266629,0.5714564736496583,0.5414663445862129,0.5834720034076508,0.01741158362299544,0.04200565882143792,0.22177098073002433,0.22151435670140357,0.0068783915476526005,0.21718363201433566,0.22623640692959834,0.2108299936621265,0.23316695702444618,0.009052774915262685,0.02233696336231966,2.5398584183376087,2.538026982372669,0.07632974135655314,2.4864874288648866,2.5883180576588463,2.4213023776179616,2.6686494973321326,0.10183062879395965,0.247347119714171,0.0,0.0,0.03999253164695338,0.04025141540259469,0.04025141540259469,0.0016201764419122371,0.0,0.0,0.03730659567664091,0.03704997164802015,0.03704997164802015,0.001372700399119097,0.0,0.0,-0.29482997336995354,-0.2966614093348934,0.2966614093348934,0.08800799178856517
4,0.2585507973881067,0.20910862294995536,1.2364425423526606,1.0,21,0.4224136635349441,strong,0.31276746302337277,0.3042217967014871,0.09845957628870258,0.23864118973297602,0.37502375554091016,0.1680826157923849,0.48759639317479847,0.13638256580793415,0.3195137773824136,0.33596310916185884,0.34622881062833644,0.09950697828359377,0.26895033379390076,0.4173634674721909,0.15213994681618287,0.4715729274039657,0.14841313367829012,0.31943298058778286,0.9748581474133275,0.9581730332460673,0.27393988385432605,0.7958721188328298,1.11632887683212,0.5561583252404625,1.4600471751367567,0.3204567579992902,0.9038888498962943,1.0,1.0,0.05421666563526606,0.04567099931338037,0.04567099931338037,0.00208584017828279,0.0,1.0,0.12685448621190348,0.13712018767838108,0.13712018767838108,0.01880194586895445,0.0,1.0,-0.26158439493933305,-0.2782695091065933,0.2782695091065933,0.07743391969842442
5,0.25998328631298845,0.3833953303326222,0.6781075974176181,1.0,17,0.5964514329406326,strong,0.2358876310933961,0.19436220110123928,0.1281306154379725,0.13962505107264364,0.29371632063068864,0.10532852205474881,0.5023850964828209,0.154091269558045,0.39705657442807213,0.326648519316769,0.3401395020091213,0.1219382361244428,0.23111434244977608,0.4347768040333346,0.10540062077283298,0.48950748034999364,0.2036624615835585,0.3841068595771607,0.7647470422335986,0.7184254390569196,0.31804530195541647,0.5172259876532028,0.9605402518142296,0.3282561128853897,1.338223460497474,0.4433142641610268,1.0099673476120845,1.0,1.0,-0.024095655219592338,-0.06562108521174917,0.06562108521174917,0.004306126824367646,1.0,1.0,-0.05674681101585316,-0.04325582832350089,0.04325582832350089,0.0018710666839521818,1.0,1.0,0.08663944481598052,0.04031784163930152,0.04031784163930152,0.0016255283544517956
6,0.5043321096504052,0.40230191813470506,1.2536159707832584,1.0,17,0.5904682044185241,strong,0.39275993910154233,0.3866160710320971,0.11416405665913566,0.3077844239605809,0.4719198689544274,0.21587624964326524,0.5882640110837729,0.16413544499384647,0.37238776144050767,0.3812035907136803,0.3986369473677639,0.08429823335552604,0.33241705704466756,0.4480778023859851,0.21047584407963996,0.48738210190436926,0.11566074534131754,0.27690625782472933,1.04427875247871,1.0408721972248065,0.23900458650083944,0.8896054153452144,1.196354361897201,0.6641146052099877,1.4320947440424392,0.3067489465519866,0.7679801388324515,0.0,1.0,-0.11157217054886287,-0.1177160386183081,0.1177160386183081,0.013857065747987002,1.0,1.0,-0.021098327421024743,-0.003664970766941167,0.003664970766941167,1.3432010722533324e-05,0.0,1.0,-0.20933721830454832,-0.21274377355845187,0.21274377355845187,0.04525991318788984
7,0.1782680912766364,0.4099814796292761,0.4348198641505331,1.0,11,0.30865309372820726,strong,0.21991078128943314,0.17083776869010026,0.1330439098956393,0.12003357647902643,0.2715433672639318,0.10179899555948578,0.5114397652526731,0.15150979078490537,0.4096407696931873,0.3107996963075378,0.324583147556453,0.13370734187984562,0.19299984169195172,0.43420591436095457,0.08740382132529355,0.4936079708494247,0.24120607266900285,0.40620414952413114,0.7651681972815746,0.7155021529710914,0.33698491083341675,0.5022133069388848,0.9719389492773303,0.31345339902942687,1.394081491139419,0.4697256423384455,1.0806280921099922,1.0,1.0,0.041642690012796746,-0.007430322586536142,0.007430322586536142,5.520969373998915e-05,1.0,1.0,-0.09918178332173833,-0.0853983320728231,0.0853983320728231,0.007292875120820167,0.0,1.0,0.3303483331310415,0.28068228882055835,0.28068228882055835,0.07878254725754734
8,0.8610039871024447,0.1770050362455169,4.864290900221501,1.0,22,0.4912491639009246,strong,0.8737425220370255,0.876686014887173,0.03253893838128059,0.8527548288046929,0.8969501786543651,0.8164473602763265,0.9222030397722165,0.044195349849672216,0.10575567949589004,0.18678309751155917,0.1867071897056576,0.008384616368390975,0.18121956181628146,0.19242238103976683,0.17308260233130496,0.20049112983498538,0.011202819223485372,0.02740852750368042,4.686231937989027,4.676927237503681,0.2562981317260078,4.510720556056704,4.847157062496338,4.275801513566682,5.115618737645858,0.3364365064396342,0.8398172240791757,1.0,1.0,0.01273853493458077,0.01568202778472827,0.01568202778472827,0.00024592599544098943,0.0,1.0,0.009778061266042276,0.009702153460140722,0.009702153460140722,9.413178176412059e-05,0.0,1.0,-0.1780589622324742,-0.18736366271782057,0.18736366271782057,0.035105142107037225
9,0.5472010893876081,0.102793267143065,5.323316444704767,1.0,11,0.5317215337092212,strong,0.5764536897120854,0.5769267937662279,0.014320509644450375,0.5663580597656129,0.5861140561696261,0.5528759317337325,0.5993188254035797,0.019755996404013154,0.04644289366984722,0.17340587630963442,0.17341424502606145,0.0066173680136216596,0.16858445003657813,0.17806016039433153,0.1626102680038602,0.1841203448890102,0.009475710357753409,0.021510076885149998,3.328255197403688,3.316164223274543,0.1307783750692688,3.235689704927034,3.416330483331094,3.1316419765394765,3.555204807999548,0.18064077840406023,0.42356283146007145,0.0,0.0,0.029252600324477296,0.029725704378619766,0.029725704378619766,0.0008836175008050943,0.0,0.0,0.07061260916656942,0.07062097788299646,0.07062097788299646,0.0049873225171506745,0.0,0.0,-1.9950612473010794,-2.0071522214302244,2.0071522214302244,4.0286600399922845
10,0.2517689382898641,0.4954444867079704,0.5081678069782702,1.0,16,0.5457405240079221,strong,0.2157767804273397,0.17365108777268884,0.11723039246943719,0.12782297209134597,0.26982096099019826,0.10364737087301586,0.45838566926035795,0.1419979888988523,0.3547382983873421,0.3043757183906939,0.3205722833024093,0.12767366704901253,0.19982981048677012,0.41599701550519846,0.09003357290156677,0.4865259514773184,0.21616720501842834,0.39649237857575165,0.7760446436155942,0.7355349897149708,0.3295436305285039,0.5246593093323346,0.9818420876915246,0.31966576955306963,1.3878788373532793,0.45718277835918997,1.0682130678002097,1.0,1.0,-0.03599215786252438,-0.07811785051717524,0.07811785051717524,0.006102398569423735,0.0,0.0,-0.19106876831727654,-0.17487220340556114,0.17487220340556114,0.03058028752391595,0.0,1.0,0.267876836637324,0.22736718273670053,0.22736718273670053,0.05169583578562417
11,0.17114771024641995,0.23212940214148786,0.7372944084959204,1.0,29,0.5367427368542159,strong,0.22641807015743284,0.17934213409893254,0.13333217093190128,0.1243600013550675,0.28823060801991407,0.10254990661566225,0.5088430948058708,0.16387060666484657,0.4062931881902085,0.31557892909821894,0.32923632155569715,0.1293254159238975,0.20937271691477266,0.43218827559663,0.09781310346580932,0.49304250802942623,0.22281555868185732,0.3952294045636169,0.7656316360077039,0.728063389324598,0.3284535566236994,0.5077869296929041,0.9696990003925802,0.32192731523687673,1.3716428156170013,0.4619120706996761,1.0497155003801246,1.0,1.0,0.055270359911012895,0.008194423852512595,0.008194423852512595,6.714858227462735e-05,1.0,1.0,0.08344952695673108,0.09710691941420929,0.09710691941420929,0.009429753798117738,1.0,1.0,0.02833722751178347,-0.009231019171322408,0.009231019171322408,8.521171494132182e-05
12,0.7301643093696458,0.2958090606622248,2.468363571200403,1.0,15,0.4141751272850625,strong,0.8328620380392361,0.8351316629368764,0.030481996584579996,0.8141165220791724,0.8548427949581603,0.7781108794690358,0.8777441080806213,0.04072627287898789,0.09963322861158552,0.3779097201425096,0.377856700968098,0.016710737723367074,0.36668369609319407,0.38919476710857526,0.3506270091738221,0.4053877639326799,0.02251107101538119,0.05476075475885778,2.2060539642806822,2.1983569652714987,0.08256393698934937,2.1487043236795196,2.2571987967379954,2.0851551655305425,2.3519927593567016,0.10849447305847582,0.2668375938261591,0.0,0.0,0.10269772866959026,0.10496735356723053,0.10496735356723053,0.011018145314907983,0.0,0.0,0.08210065948028483,0.08204764030587319,0.08204764030587319,0.0067318152797619475,0.0,0.0,-0.26230960691972083,-0.27000660592890435,0.27000660592890435,0.07290356724524664
