beta_ref_mode,severity,beta_bias_median,beta_MAE,beta_empirical_90,R0_bias_median,R0_MAE,R0_empirical_90
infection_weighted,mild,-0.0006025699035964099,0.04466564717411104,0.85,0.045294223744004644,0.15490960657112907,0.91
infection_weighted,medium,0.03807357143024563,0.07700233536063894,0.59,0.20695168252709364,0.2579525192533962,0.71
infection_weighted,strong,0.08599032211863784,0.12195118191905568,0.46,0.4033226759567712,0.4395821308237117,0.56
time_avg,mild,0.012033623255945808,0.050758833185628,0.72,0.09470842143919134,0.1721631162474538,0.85
time_avg,medium,0.08662948008452341,0.11056330720763002,0.34,0.39574090277851115,0.40873631669932964,0.44
time_avg,strong,0.19102793351920208,0.2036813705862431,0.22,0.8141688852104204,0.8176788053555175,0.23
