quantity,bias_mean_est,bias_median_est,MAE_median_est,RMSE_median_est,corr_truth_vs_median,avg_post_std
beta,0.021908249033259403,0.011694426738557459,0.05041359542028757,0.06807770980413864,0.9698851829446854,0.05657818815984497
gamma,-0.011753415063748354,-0.007427703809362224,0.03922483151090672,0.06688485360770577,0.8632844660600216,0.04656845335629009
R0,0.10972260542987763,0.0947323752037224,0.1725071324021136,0.2368268889665212,0.9962338858208157,0.23490124718699576
