quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.37,-0.13,0.9,0.73,-0.17000000000000004,0.07020908814595352,0.17700749090835022
gamma,0.5,0.47,-0.030000000000000027,0.9,0.95,0.04999999999999993,0.07484463325801016,0.1454653532934009
R0,0.5,0.49,-0.010000000000000009,0.9,0.87,-0.030000000000000027,0.3147360029218527,0.7591063456090292
