quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.16,-0.33999999999999997,0.9,0.32,-0.5800000000000001,0.07254307188461293,0.18275336274336063
gamma,0.5,0.41,-0.09000000000000002,0.9,0.82,-0.08000000000000007,0.07558599525345222,0.14647075310556867
R0,0.5,0.19,-0.31,0.9,0.43,-0.47000000000000003,0.31150480189717245,0.7512206951337836
