case_id,feature,observed_value,pred_mean,pred_median,pred_std,pred_ci50_low,pred_ci50_high,pred_ci90_low,pred_ci90_high,pred_width50,pred_width90,covered50,covered90,err_mean,err_median,abs_err_median,sq_err_median,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity
0,peak_time,18.0,23.17,21.0,14.375944413421255,11.0,36.25,3.0,46.05,25.25,43.05,1.0,1.0,5.170000000000002,3.0,3.0,9.0,0.08652860029413531,0.22364714789828816,0.38689784827252705,0.08652860029413531,0.10300766336920011,0.38689784827252705,0.46058116250177566,time_avg,0.1072049143651905,0.22364714789828816,15,0.7244753964406905,medium
0,peak_height,0.049634769558906555,0.05382378136739135,0.049478644505143166,0.018843252874188227,0.04403313156217337,0.059056442230939865,0.03527393490076065,0.08207462430000305,0.015023310668766499,0.046800689399242396,1.0,1.0,0.004189011808484792,-0.0001561250537633896,0.0001561250537633896,2.437503241262129e-08,0.08652860029413531,0.22364714789828816,0.38689784827252705,0.08652860029413531,0.10300766336920011,0.38689784827252705,0.46058116250177566,time_avg,0.1072049143651905,0.22364714789828816,15,0.7244753964406905,medium
0,cumulative_infected,0.42884817929007113,0.6395853846322097,0.5028660240664067,0.4923988371211495,0.414610320898646,0.6409785441210261,0.3177867261629217,1.3860011772310823,0.22636822322238004,1.0682144510681606,1.0,1.0,0.21073720534213858,0.07401784477633555,0.07401784477633555,0.005478641345333704,0.08652860029413531,0.22364714789828816,0.38689784827252705,0.08652860029413531,0.10300766336920011,0.38689784827252705,0.46058116250177566,time_avg,0.1072049143651905,0.22364714789828816,15,0.7244753964406905,medium
0,early_growth_slope,-0.0022423823524843002,-0.0001512476064038172,-0.00046534221924264817,0.001925206087584157,-0.0014792497199994689,0.0009882806209913855,-0.002768790713855108,0.003130823708142131,0.0024675303409908544,0.0058996144219972384,0.0,1.0,0.002091134746080483,0.001777040133241652,0.001777040133241652,3.1578716351515084e-06,0.08652860029413531,0.22364714789828816,0.38689784827252705,0.08652860029413531,0.10300766336920011,0.38689784827252705,0.46058116250177566,time_avg,0.1072049143651905,0.22364714789828816,15,0.7244753964406905,medium
1,peak_time,14.0,14.35,14.0,1.2339883600452934,13.0,15.0,12.0,16.0,2.0,4.0,1.0,1.0,0.34999999999999964,0.0,0.0,0.0,0.5265470028633716,0.19935750869708702,2.6412198181280013,0.5265470028633716,0.5602842265091801,2.6412198181280013,2.8104495796067646,time_avg,0.5704258660249205,0.19935750869708702,27,0.8327761087963679,medium
1,peak_height,0.30441567301750183,0.2919872349500656,0.2909993678331375,0.02048414716443649,0.27958037704229355,0.30418411642313004,0.26050343960523603,0.3269736871123314,0.024603739380836487,0.06647024750709535,0.0,1.0,-0.01242843806743621,-0.013416305184364319,0.013416305184364319,0.0001799972448000009,0.5265470028633716,0.19935750869708702,2.6412198181280013,0.5265470028633716,0.5602842265091801,2.6412198181280013,2.8104495796067646,time_avg,0.5704258660249205,0.19935750869708702,27,0.8327761087963679,medium
1,cumulative_infected,4.720446667168289,4.607157114168586,4.634423226700164,0.2361082346386044,4.454509604081977,4.755153508798685,4.1864446109510025,5.007390153560846,0.30064390471670777,0.8209455426098433,1.0,1.0,-0.11328955299970378,-0.08602344046812505,0.08602344046812505,0.007400032309973054,0.5265470028633716,0.19935750869708702,2.6412198181280013,0.5265470028633716,0.5602842265091801,2.6412198181280013,2.8104495796067646,time_avg,0.5704258660249205,0.19935750869708702,27,0.8327761087963679,medium
1,early_growth_slope,0.0168009168424067,0.012244713367846478,0.012530342071494529,0.00309997565741456,0.010614591495444378,0.014399324556247196,0.0070098127582154815,0.016611357314866917,0.003784733060802818,0.009601544556651437,0.0,0.0,-0.004556203474560221,-0.00427057477091217,0.00427057477091217,1.8237808873951534e-05,0.5265470028633716,0.19935750869708702,2.6412198181280013,0.5265470028633716,0.5602842265091801,2.6412198181280013,2.8104495796067646,time_avg,0.5704258660249205,0.19935750869708702,27,0.8327761087963679,medium
2,peak_time,15.0,21.86,21.5,14.811966224453236,8.75,35.25,0.9500000000000002,45.05,26.5,44.099999999999994,1.0,1.0,6.859999999999999,6.5,6.5,42.25,0.11588772969583502,0.4600703231768622,0.25189133890578064,0.11588772969583502,0.13255858387298688,0.25189133890578064,0.2881267867000153,time_avg,0.13256470427688344,0.4600703231768622,26,0.7379114053520391,medium
2,peak_height,0.037634458392858505,0.05422428345307708,0.04925382882356644,0.025080680804904897,0.043656643480062485,0.05906284786760807,0.03552946038544178,0.07600372731685637,0.015406204387545586,0.040474266931414586,0.0,1.0,0.016589825060218576,0.011619370430707932,0.011619370430707932,0.00013500976920600982,0.11588772969583502,0.4600703231768622,0.25189133890578064,0.11588772969583502,0.13255858387298688,0.25189133890578064,0.2881267867000153,time_avg,0.13256470427688344,0.4600703231768622,26,0.7379114053520391,medium
2,cumulative_infected,0.4018922733666841,0.6445644196659487,0.4986215073913627,0.6633705879526615,0.4255163330490177,0.6378297960327473,0.32502749030536504,1.3283481135527826,0.21231346298372955,1.0033206232474177,0.0,1.0,0.2426721462992646,0.09672923402467859,0.09672923402467859,0.009356544715001039,0.11588772969583502,0.4600703231768622,0.25189133890578064,0.11588772969583502,0.13255858387298688,0.25189133890578064,0.2881267867000153,time_avg,0.13256470427688344,0.4600703231768622,26,0.7379114053520391,medium
2,early_growth_slope,-0.0016820941597134572,-0.00030258387040486763,-0.0005731433040983526,0.0022075047718564,-0.0018314542823992218,0.0008566139488158072,-0.0033210257647581197,0.003949231575478777,0.002688068231215029,0.007270257340236896,1.0,1.0,0.0013795102893085895,0.0011089508556151044,0.0011089508556151044,1.2297720001694722e-06,0.11588772969583502,0.4600703231768622,0.25189133890578064,0.11588772969583502,0.13255858387298688,0.25189133890578064,0.2881267867000153,time_avg,0.13256470427688344,0.4600703231768622,26,0.7379114053520391,medium
3,peak_time,8.0,9.75,10.0,1.282161999881214,9.0,11.0,8.0,12.0,2.0,4.0,0.0,1.0,1.75,2.0,2.0,4.0,0.7244737545330746,0.3989365571725036,1.8160124498688295,0.7244737545330746,0.8740692285862083,1.8160124498688295,2.1909980744338085,time_avg,0.8764734823496965,0.3989365571725036,28,0.6058592372585563,medium
3,peak_height,0.18917037546634674,0.1850982604920864,0.18249627202749252,0.017554243064503136,0.17260079458355904,0.2007238045334816,0.15927864313125611,0.21367037370800973,0.02812300994992256,0.054391730576753616,1.0,1.0,-0.004072114974260327,-0.0066741034388542175,0.0066741034388542175,4.454365671252569e-05,0.7244737545330746,0.3989365571725036,1.8160124498688295,0.7244737545330746,0.8740692285862083,1.8160124498688295,2.1909980744338085,time_avg,0.8764734823496965,0.3989365571725036,28,0.6058592372585563,medium
3,cumulative_infected,2.2555463798344135,2.145933779899847,2.1478427194342657,0.1651022707609583,2.015896931567113,2.2601890055811964,1.871403633312002,2.3971952911349943,0.24429207401408348,0.5257916578229922,1.0,1.0,-0.10961259993456673,-0.10770366040014778,0.10770366040014778,0.011600078463590362,0.7244737545330746,0.3989365571725036,1.8160124498688295,0.7244737545330746,0.8740692285862083,1.8160124498688295,2.1909980744338085,time_avg,0.8764734823496965,0.3989365571725036,28,0.6058592372585563,medium
3,early_growth_slope,0.018313246222013337,0.016633311732771935,0.01654365203077239,0.0038801233305886342,0.014196263809156204,0.019727903143142433,0.010557341376192023,0.022615637390186915,0.005531639333986229,0.012058296013994892,1.0,1.0,-0.0016799344892414018,-0.001769594191240946,0.001769594191240946,3.131463601673698e-06,0.7244737545330746,0.3989365571725036,1.8160124498688295,0.7244737545330746,0.8740692285862083,1.8160124498688295,2.1909980744338085,time_avg,0.8764734823496965,0.3989365571725036,28,0.6058592372585563,medium
4,peak_time,16.0,21.99,21.0,12.211515512462451,14.0,29.25,3.0,46.05,15.25,43.05,1.0,1.0,5.989999999999998,5.0,5.0,25.0,0.5363719853995543,0.45055085923042926,1.1904804405782585,0.5363719853995543,0.5733575902979744,1.1904804405782585,1.2725701850337323,time_avg,0.6080337044720686,0.45055085923042926,22,0.7895390427447743,medium
4,peak_height,0.07082017511129379,0.06305072402581573,0.05985083617269993,0.01663058083195578,0.05203972291201353,0.07280521094799042,0.04100363869220018,0.09300438575446605,0.020765488035976887,0.05200074706226587,1.0,1.0,-0.007769451085478066,-0.010969338938593864,0.010969338938593864,0.00012032639674975157,0.5363719853995543,0.45055085923042926,1.1904804405782585,0.5363719853995543,0.5733575902979744,1.1904804405782585,1.2725701850337323,time_avg,0.6080337044720686,0.45055085923042926,22,0.7895390427447743,medium
4,cumulative_infected,0.9412479635793716,0.8531503316367526,0.7956980919698253,0.32052908786221757,0.6427748491951206,1.0235792127932655,0.3889308765275928,1.3762015927117317,0.38080436359814485,0.987270716184139,1.0,1.0,-0.08809763194261899,-0.14554987160954624,0.14554987160954624,0.021184765125555397,0.5363719853995543,0.45055085923042926,1.1904804405782585,0.5363719853995543,0.5733575902979744,1.1904804405782585,1.2725701850337323,time_avg,0.6080337044720686,0.45055085923042926,22,0.7895390427447743,medium
4,early_growth_slope,0.005822903651278464,0.0004850438923005558,0.0006573881532642112,0.002463450461529943,-0.0012926123747006141,0.001802385269132044,-0.003926158795504651,0.004832624718047944,0.003094997643832658,0.008758783513552595,0.0,0.0,-0.005337859758977909,-0.005165515498014253,0.005165515498014253,2.6682550360225437e-05,0.5363719853995543,0.45055085923042926,1.1904804405782585,0.5363719853995543,0.5733575902979744,1.1904804405782585,1.2725701850337323,time_avg,0.6080337044720686,0.45055085923042926,22,0.7895390427447743,medium
5,peak_time,9.0,19.97,20.5,14.118871245695432,7.75,30.25,0.9500000000000002,43.0,22.5,42.05,1.0,1.0,10.969999999999999,11.5,11.5,132.25,0.16638453325504063,0.37119618663849296,0.44823879997744187,0.16638453325504063,0.2111891134375314,0.44823879997744187,0.5689420339956455,time_avg,0.21789895491899808,0.37119618663849296,13,0.6805212610792437,medium
5,peak_height,0.042058613151311874,0.05189908416941762,0.04941954091191292,0.01270473684474407,0.043265074491500854,0.05789835285395384,0.036085135862231256,0.07509550526738165,0.014633278362452984,0.039010369405150395,0.0,1.0,0.009840471018105743,0.007360927760601044,0.007360927760601044,5.4183257496787096e-05,0.16638453325504063,0.37119618663849296,0.44823879997744187,0.16638453325504063,0.2111891134375314,0.44823879997744187,0.5689420339956455,time_avg,0.21789895491899808,0.37119618663849296,13,0.6805212610792437,medium
5,cumulative_infected,0.427402382978471,0.5784420558442411,0.5082553941756487,0.24623850887535967,0.41163763023541833,0.6593382191495039,0.3149868681182852,1.0878035012690814,0.24770058891408553,0.7728166331507962,1.0,1.0,0.15103967286577014,0.0808530111971777,0.0808530111971777,0.006537209419650941,0.16638453325504063,0.37119618663849296,0.44823879997744187,0.16638453325504063,0.2111891134375314,0.44823879997744187,0.5689420339956455,time_avg,0.21789895491899808,0.37119618663849296,13,0.6805212610792437,medium
5,early_growth_slope,0.0023753534714203496,-0.0006976647762424117,-0.0005719611016545612,0.00266908891881803,-0.0022387213988029724,0.0009512641729434976,-0.005541783495850502,0.003644066083389977,0.00318998557174647,0.009185849579240478,0.0,1.0,-0.0030730182476627612,-0.002947314573074911,0.002947314573074911,8.686663192659744e-06,0.16638453325504063,0.37119618663849296,0.44823879997744187,0.16638453325504063,0.2111891134375314,0.44823879997744187,0.5689420339956455,time_avg,0.21789895491899808,0.37119618663849296,13,0.6805212610792437,medium
6,peak_time,14.0,15.54,15.0,1.591771771874779,14.0,17.0,13.0,18.0,3.0,5.0,1.0,1.0,1.5399999999999991,1.0,1.0,1.0,0.44146200906865213,0.26288154406981845,1.6793191421281544,0.44146200906865213,0.5163781245322981,1.6793191421281544,1.9642996481911783,time_avg,0.5547981800236328,0.26288154406981845,24,0.607146917994323,medium
6,peak_height,0.22176602482795715,0.18858537539839745,0.187515489757061,0.016428914413341624,0.17771334201097488,0.1984684355556965,0.16226376742124557,0.21685062274336814,0.020755093544721603,0.05458685532212257,0.0,0.0,-0.0331806494295597,-0.03425053507089615,0.03425053507089615,0.001173099152642687,0.44146200906865213,0.26288154406981845,1.6793191421281544,0.44146200906865213,0.5163781245322981,1.6793191421281544,1.9642996481911783,time_avg,0.5547981800236328,0.26288154406981845,24,0.607146917994323,medium
6,cumulative_infected,3.1646738069830462,3.0229222026215576,3.033390401644283,0.17075437175635605,2.9111972427926958,3.125652562790492,2.724099335935898,3.2877142451237886,0.21445531999779632,0.5636149091878906,0.0,1.0,-0.1417516043614886,-0.13128340533876326,0.13128340533876326,0.017235332517342012,0.44146200906865213,0.26288154406981845,1.6793191421281544,0.44146200906865213,0.5163781245322981,1.6793191421281544,1.9642996481911783,time_avg,0.5547981800236328,0.26288154406981845,24,0.607146917994323,medium
