quantity,bias_mean_est,bias_median_est,MAE_median_est,RMSE_median_est,corr_truth_vs_median,avg_post_std
beta,0.0969837604408543,0.08674414362256024,0.11064527282577359,0.12785751437074444,0.9479316364696077,0.05833962053549418
gamma,-0.0037546888458845364,0.0011992806599699537,0.04599535016090511,0.07242509329712382,0.8380502846034357,0.04689136174577891
R0,0.4128181935378253,0.39795446135700685,0.40892687282894274,0.545061769597962,0.9946769089608559,0.23163973797563606
