true_R0_group,n_cases,true_beta_mean,true_gamma_mean,true_R0_mean,beta_err_median_mean,gamma_err_median_mean,R0_err_median_mean,beta_covered90_rate,gamma_covered90_rate,R0_covered90_rate
low,102,0.33727470529186615,0.35596548681447965,0.972690172766977,0.006744784561059442,0.015607700859930325,0.011710015131391674,0.8921568627450981,0.8627450980392157,0.9019607843137255
mid,99,0.6723061751620428,0.3250612516859882,2.1257644046748183,0.026724796509153458,0.028354452795308162,-0.11877127771226675,0.7676767676767676,0.5555555555555556,0.6767676767676768
high,99,0.7184729695752884,0.15161946368175944,5.98720346200992,0.018627008944229747,0.020176470573189602,-0.7417345353434835,0.8181818181818182,0.45454545454545453,0.5454545454545454
