severity,true_R0_group,n_cases,gamma_err_median_mean,R0_err_median_mean,gamma_covered90_rate,R0_covered90_rate
mild,low,34,0.009248583119443004,0.029284726296476243,0.8823529411764706,0.9117647058823529
mild,mid,33,0.008368031367695155,-0.057102802083740356,0.7575757575757576,0.8787878787878788
mild,high,33,0.006159320371389369,-0.3199544088732534,0.8484848484848485,0.8484848484848485
medium,low,34,0.014831978190214827,0.01445200481782633,0.8823529411764706,0.9117647058823529
medium,mid,33,0.02563706659777599,-0.11431237973276644,0.5151515151515151,0.6666666666666666
medium,high,33,0.0166814820772774,-0.6835306276048202,0.30303030303030304,0.45454545454545453
strong,low,34,0.022742541270133147,-0.008606685720127552,0.8235294117647058,0.8823529411764706
strong,mid,33,0.05105826042045335,-0.18489865132029348,0.3939393939393939,0.48484848484848486
strong,high,33,0.03768860927090203,-1.221718569552377,0.21212121212121213,0.3333333333333333
