severity,true_gamma_group,n_cases,gamma_err_median_mean,R0_err_median_mean,gamma_covered90_rate,R0_covered90_rate
mild,low,34,0.017760272654769108,-0.31341029355655126,0.7647058823529411,0.7941176470588235
mild,mid,33,0.030290313693683565,-0.0431382582547503,0.8484848484848485,0.9393939393939394
mild,high,33,-0.024532581475844115,0.019160764722087997,0.8787878787878788,0.9090909090909091
medium,low,34,0.03127363144584108,-0.6898167932834809,0.20588235294117646,0.4117647058823529
medium,mid,33,0.04467189690945372,-0.08054053922930743,0.6666666666666666,0.7575757575757576
medium,high,33,-0.019293233406863747,0.00830780872337063,0.8484848484848485,0.8787878787878788
strong,low,34,0.05893320519058628,-1.2413240267223347,0.058823529411764705,0.20588235294117646
strong,mid,33,0.064501728565483,-0.13020584872839044,0.5454545454545454,0.6363636363636364
strong,high,33,-0.013042209580049043,-0.006338960202612068,0.8484848484848485,0.8787878787878788
