severity,low,mid,high
mild,0.7941176470588235,0.9393939393939394,0.9090909090909091
medium,0.4117647058823529,0.7575757575757576,0.8787878787878788
strong,0.20588235294117646,0.6363636363636364,0.8787878787878788
