true_beta_group,n_cases,true_beta_mean,true_gamma_mean,true_R0_mean,beta_err_median_mean,gamma_err_median_mean,R0_err_median_mean,beta_covered90_rate,gamma_covered90_rate,R0_covered90_rate
low,102,0.2800703363694706,0.27699229940704706,1.489820507397865,0.02836280348671615,0.026223639554359465,-0.0793168612452202,0.7843137254901961,0.696078431372549,0.7843137254901961
mid,99,0.591722335580198,0.24811819279302239,3.7549238564268026,0.005177469342976087,0.02163708662560184,-0.5205181908690953,0.7878787878787878,0.48484848484848486,0.5252525252525253
high,99,0.8579946438044499,0.3099288368732922,3.825243059426112,0.017901225702154754,0.015956202936514383,-0.24620235561681253,0.9090909090909091,0.696969696969697,0.8181818181818182
