case_id,true_beta,true_gamma,true_R0,rho0,tau,eta,severity,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median,true_gamma_group,true_R0_group,true_beta_group
20,0.8261474130228024,0.4036134749498376,2.0468776795063115,1.0,22,0.6354415133676239,medium,0.8573886295132045,0.8631761363402946,0.04376046384774934,0.834199810836326,0.8878445301202295,0.7748764946673363,0.9165417236501278,0.053644719283903464,0.14166522898279144,0.43164476836690996,0.4313906518731373,0.022990800878645367,0.41605253303011275,0.44750850791402713,0.3937852966384529,0.47011978011401945,0.031455974883914384,0.07633448347556654,1.9876235943773568,1.9844222245013814,0.06751447827825315,1.9412006940698436,2.031093004820746,1.8836515337114288,2.101944475808687,0.0898923107509022,0.21829294209725836,0.0,1.0,0.031241216490402124,0.037028723317492185,0.037028723317492185,0.0013711263505233895,0.0,1.0,0.028031293417072334,0.027777176923299673,0.027777176923299673,0.0007715715578282919,0.0,1.0,-0.05925408512895469,-0.062455455004930105,0.062455455004930105,0.003900683859872849,high,mid,high
21,0.9477736778764508,0.1074628085345575,8.819550603608775,1.0,30,0.6069023060298527,medium,0.9260640095014006,0.9358854732637341,0.04301520068014842,0.9051455618978447,0.9565031342186207,0.8510487934921548,0.974882268213783,0.05135757232077598,0.1238334747216282,0.11194442558408332,0.1115583741283878,0.0061415547236763676,0.10769004959927109,0.1160849719228776,0.10256222886288442,0.12224709453333162,0.008394922323606516,0.019684865670447194,8.29882719849194,8.272162264940032,0.6183684605883242,7.895827988543631,8.708152111841795,7.314774266052602,9.292512708737119,0.812324123298164,1.977738442684517,1.0,1.0,-0.021709668375050284,-0.01188820461271678,0.01188820461271678,0.00014132940891382052,0.0,1.0,0.004481617049525821,0.0040955655938303,0.0040955655938303,1.6773657533366537e-05,0.0,1.0,-0.5207234051168346,-0.5473883386687426,0.5473883386687426,0.29963399331052604,low,high,high
22,0.8016883048501701,0.4848073381357573,1.6536224635809424,1.0,30,0.8475364004462514,medium,0.8001402379322167,0.812671758317985,0.05856625775936318,0.7700872670721622,0.842085071584229,0.6900062704655179,0.8726855614842638,0.07199780451206672,0.18267929101874592,0.4623181811777737,0.4671445564305158,0.02571196105118644,0.44785581565721755,0.4814916528738925,0.41272371455527324,0.49484978715613714,0.03363583721667496,0.08212607260086391,1.7301622969764399,1.7337583139824626,0.07446928565698187,1.691005829795365,1.7754913156530068,1.6052695008506626,1.8421039211057373,0.08448548585764182,0.23683442025507473,1.0,1.0,-0.0015480669179533946,0.01098345346781493,0.01098345346781493,0.00012063625007965581,0.0,1.0,-0.022489156957983647,-0.017662781705241548,0.017662781705241548,0.0003119738575670155,0.0,1.0,0.07653983339549741,0.08013585040152016,0.08013585040152016,0.006421754519574819,high,mid,high
23,0.554491909448532,0.06803157775035758,8.150507863910558,1.0,21,0.7052808878463666,medium,0.5596682399625463,0.5594773871404266,0.02065416357982457,0.5460013239873966,0.5733791795031755,0.526123551742773,0.5932824892692775,0.02737785551577887,0.06715893752650448,0.0809159788307852,0.0806661086869333,0.004299829786909299,0.07786966374456002,0.0837029173623193,0.0744072033557359,0.08852403603953804,0.005833253617759285,0.014116832683802136,6.936807012411468,6.914852660434021,0.45985595150079894,6.6080472329272,7.258909395462915,6.189285769029391,7.711432272599693,0.6508621625357147,1.5221465035703021,1.0,1.0,0.005176330514014338,0.004985477691894613,0.004985477691894613,2.4854987816378838e-05,0.0,0.0,0.012884401080427627,0.012634530936575725,0.012634530936575725,0.00015963137198728907,0.0,0.0,-1.2137008514990901,-1.2356552034765373,1.2356552034765373,1.526843781878643,low,high,mid
24,0.9698012809137599,0.49891715262890207,1.943812265831447,1.0,22,0.8487026509768092,medium,0.9292550059474853,0.9383913163170136,0.03921309698666709,0.9154042197752416,0.954229621220077,0.8501179399134668,0.973246729220419,0.03882540144483548,0.12312878930695215,0.47968555431265214,0.48435534454231843,0.017798550788128947,0.4712765538027702,0.4930566953287907,0.44319112605486977,0.4988430816403302,0.02178014152602048,0.05565195558546043,1.9375509260648587,1.9358781145137829,0.05492300888719204,1.9052853392920952,1.9691126686469467,1.8555800596119807,2.0250652003251757,0.06382732935485147,0.16948514071319498,0.0,1.0,-0.04054627496627461,-0.03140996459674639,0.03140996459674639,0.0009865858759688614,0.0,0.0,-0.01923159831624993,-0.014561808086583639,0.014561808086583639,0.00021204625475049264,1.0,1.0,-0.00626133976658827,-0.007934151317664062,0.007934151317664062,6.295075713159037e-05,high,mid,high
25,0.5297603414384228,0.47162999636431946,1.1232541304035282,1.0,24,0.7160135503640697,medium,0.33943724424025495,0.3360586616743576,0.11284201859750759,0.259214654912451,0.41759569021654463,0.1605296060308957,0.5353972452264466,0.15838103530409364,0.3748676391955509,0.36163145116028955,0.3759900086314494,0.08427763706787707,0.30922461439490034,0.4244373679874327,0.202272061288228,0.47685713634685084,0.11521275359253236,0.27458507505862284,0.9486456271981752,0.964782358286467,0.23794762539412884,0.8079794695384279,1.11011768236658,0.5096403081880589,1.3003368034862877,0.302138212828152,0.7906964952982287,0.0,1.0,-0.1903230971981678,-0.19370167976406516,0.19370167976406516,0.03752034074342045,0.0,1.0,-0.10999854520402991,-0.09563998773287008,0.09563998773287008,0.009147007253543539,0.0,1.0,-0.17460850320535293,-0.1584717721170612,0.1584717721170612,0.02511330255792178,high,low,mid
26,0.36904588156670104,0.3930157913074754,0.9390103139086808,1.0,27,0.615643813340736,medium,0.2478673629448097,0.2331617724623175,0.09938747303333093,0.16761974641815972,0.3123118104786474,0.11361852307252364,0.437149963363181,0.1446920640604877,0.3235314402906574,0.3317425326585935,0.34545535859214593,0.09983328705723683,0.26720860459680695,0.4105747976250923,0.14422162238154257,0.4688602457325706,0.14336619302828535,0.32463862335102806,0.7713414883413118,0.7695805453774452,0.2399616224052806,0.6114604288132011,0.9211616950064891,0.3805000839456016,1.1499090998052572,0.3097012661932881,0.7694090158596556,0.0,1.0,-0.12117851862189133,-0.13588410910438353,0.13588410910438353,0.01846449110709201,1.0,1.0,-0.06127325864888189,-0.04756043271532945,0.04756043271532945,0.0022619947600693796,0.0,1.0,-0.16766882556736906,-0.1694297685312356,0.1694297685312356,0.02870644646454807,high,low,low
27,0.3180263022640479,0.05556132064187366,5.7238794648874505,1.0,18,0.8060889272938072,medium,0.32135000894918553,0.3210220180648703,0.013557434501130828,0.3117353944746674,0.33050717479648,0.3000127458155207,0.343752986266541,0.018771780321812592,0.04374024045102032,0.06535382890691037,0.06477047781877579,0.005283742047008184,0.06154790773563598,0.06830607234525364,0.05801698219080843,0.07494542565536301,0.006758164609617659,0.016928443464554577,4.949333762480183,4.941567216623305,0.4568324251629373,4.632760549262942,5.249691829445181,4.224507181121158,5.727364291920664,0.6169312801822393,1.5028571107995061,1.0,1.0,0.0033237066851376507,0.0029957158008224183,0.0029957158008224183,8.974313159297102e-06,0.0,0.0,0.009792508265036706,0.009209157176902127,0.009209157176902127,8.480857590888797e-05,0.0,1.0,-0.7745457024072673,-0.7823122482641454,0.7823122482641454,0.6120124537841019,low,high,low
28,0.6324651337119632,0.17782424566556188,3.5566867237072657,1.0,12,0.6811191390677831,medium,0.6513341695277439,0.6511226549985517,0.01867588921523764,0.6380059998301612,0.6636764689020752,0.6212550802458852,0.6823550683986078,0.02567046907191406,0.06109998815272266,0.22404748285405768,0.2239072114109173,0.007947788623293851,0.21877458902487262,0.22914528361400255,0.21145967006116798,0.23736286196458956,0.010370694589129925,0.02590319190342158,2.9094943139642044,2.903935173826034,0.10087945250330041,2.8391500405933154,2.974910937146581,2.7528282854841466,3.0879789867532716,0.13576089655326573,0.33515070126912505,0.0,1.0,0.0188690358157807,0.018657521286588485,0.018657521286588485,0.00034810310055950245,0.0,0.0,0.0462232371884958,0.04608296574535542,0.04608296574535542,0.002123639731887601,0.0,0.0,-0.6471924097430612,-0.6527515498812315,0.6527515498812315,0.4260845858723499,low,high,mid
29,0.9382964795291376,0.1863803149001111,5.03431105389005,1.0,13,0.7625677962512001,medium,0.9600863103036591,0.9687489780173447,0.03192081537034061,0.9466616169168235,0.9819897004761838,0.8959842432701267,0.9923025241039236,0.035328083559360346,0.0963182808337969,0.21289912867730407,0.21240797149028837,0.012035513782030528,0.20479561319572998,0.22046459309375815,0.19434020126015114,0.23232843739116546,0.01566897989802818,0.03798823613101432,4.523955862955792,4.5108171674983275,0.2991025905032465,4.3218541367048005,4.7072835574011025,4.0643682351318065,5.021291370662233,0.38542942069630204,0.9569231355304266,0.0,1.0,0.021789830774521457,0.03045249848820708,0.03045249848820708,0.0009273546641742545,0.0,0.0,0.02651881377719298,0.02602765659017728,0.02602765659017728,0.0006774389075761987,0.0,0.0,-0.5103551909342583,-0.5234938863917229,0.5234938863917229,0.2740458490895101,low,high,high
