eta_bin,n_cases,eta_mean,R0_err_median_mean,gamma_err_median_mean,R0_covered90_rate,gamma_covered90_rate
"(0.303, 0.532]",75,0.4097230446683162,-0.5472400237371153,0.03950046633785954,0.52,0.44
"(0.532, 0.712]",75,0.6298751948768602,-0.29228075209798104,0.02528122651514462,0.64,0.5333333333333333
"(0.712, 0.886]",75,0.8147973237382706,-0.14971041792134984,0.00748340990995734,0.7733333333333333,0.6933333333333334
"(0.886, 1.0]",75,0.9429131307575701,-0.13071085889845152,0.013022189252960793,0.9066666666666666,0.84
