tau_bin,n_cases,tau_mean,R0_err_median_mean,gamma_err_median_mean,R0_covered90_rate,gamma_covered90_rate
"(9.999, 15.0]",84,12.464285714285714,-0.3673584734323696,0.0457879941799425,0.5238095238095238,0.44047619047619047
"(15.0, 19.0]",69,17.565217391304348,-0.3997037242586094,0.025153867008506584,0.6376811594202898,0.5362318840579711
"(19.0, 25.0]",78,22.923076923076923,-0.19575928695337066,-0.0007401375537011231,0.8205128205128205,0.7564102564102564
"(25.0, 30.0]",69,27.782608695652176,-0.1491124757187148,0.012644482546097617,0.8840579710144928,0.7971014492753623
