case_id,feature,observed_value,pred_mean,pred_median,pred_std,pred_ci50_low,pred_ci50_high,pred_ci90_low,pred_ci90_high,pred_width50,pred_width90,covered50,covered90,err_mean,err_median,abs_err_median,sq_err_median,true_beta,true_gamma,true_R0,rho0,tau,eta,severity
0,peak_time,23.0,23.14,22.5,8.400360742614605,18.75,29.0,9.0,37.249999999999986,10.25,28.249999999999986,1.0,1.0,0.14000000000000057,-0.5,0.5,0.25,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.8462315570641726,medium
0,peak_height,0.0892791897058487,0.07865953493863344,0.0762319341301918,0.017282342760771504,0.06560374796390533,0.08811531960964203,0.05590902436524629,0.107783617451787,0.022511571645736694,0.0518745930865407,0.0,1.0,-0.010619654767215256,-0.013047255575656891,0.013047255575656891,0.00017023087805650983,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.8462315570641726,medium
0,cumulative_infected,1.5575185175403021,1.3606321399220906,1.3364748039166443,0.3930853483595538,1.1495311504768324,1.5887170431087725,0.6845573575759772,2.0777925888774917,0.4391858926319401,1.3932352313015146,1.0,1.0,-0.19688637761821148,-0.22104371362365782,0.22104371362365782,0.048860323332537654,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.8462315570641726,medium
0,early_growth_slope,0.003596071988188972,0.0013093855379217232,0.0010944321624092057,0.002489383588123892,-0.0003502958135781915,0.002523069584553706,-0.0026573985494906076,0.005488689397905198,0.0028733653981318974,0.008146087947395806,0.0,1.0,-0.0022866864502672484,-0.002501639825779766,0.002501639825779766,6.258201817927419e-06,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.8462315570641726,medium
1,peak_time,8.0,21.91,18.0,15.810810136476789,7.0,36.25,1.0,47.0,29.25,46.0,1.0,1.0,13.91,10.0,10.0,100.0,0.1866456667520135,0.38828976758558686,0.48068654477451056,1.0,25,0.8086099926731041,medium
1,peak_height,0.046858932822942734,0.050711391530930995,0.0505705364048481,0.010694083856588828,0.043000481091439724,0.0576647175475955,0.03567867893725634,0.0699457012116909,0.014664236456155777,0.03426702227443456,1.0,1.0,0.0038524587079882613,0.003711603581905365,0.003711603581905365,1.3776001149212735e-05,0.1866456667520135,0.38828976758558686,0.48068654477451056,1.0,25,0.8086099926731041,medium
1,cumulative_infected,0.41249186964705586,0.529895434517639,0.48207422962150304,0.2049120283049712,0.39285014290999243,0.6143187789202784,0.2960474124061875,0.9433661286457206,0.221468636010286,0.6473187162395331,1.0,1.0,0.11740356487058312,0.06958235997444717,0.06958235997444717,0.004841704819613548,0.1866456667520135,0.38828976758558686,0.48068654477451056,1.0,25,0.8086099926731041,medium
1,early_growth_slope,0.0010769966944021037,-0.0005637111165415687,-0.0006770786740595386,0.002594702084212443,-0.0024534951059779664,0.0014268626433866817,-0.004279895603429479,0.003855023472126394,0.003880357749364648,0.008134919075555873,1.0,1.0,-0.0016407078109436724,-0.0017540753684616422,0.0017540753684616422,3.0767803982438457e-06,0.1866456667520135,0.38828976758558686,0.48068654477451056,1.0,25,0.8086099926731041,medium
2,peak_time,18.0,18.29,18.0,2.3796061128945802,17.0,20.0,14.0,22.0,3.0,8.0,1.0,1.0,0.28999999999999915,0.0,0.0,0.0,0.4046595524780089,0.19856560441531607,2.037913633982805,1.0,19,0.6021929950544105,medium
2,peak_height,0.18001534044742584,0.15915569819509984,0.160434328019619,0.014438783601834348,0.14956309646368027,0.16790545359253883,0.13362709060311317,0.1793581962585449,0.018342357128858566,0.04573110565543173,0.0,0.0,-0.020859642252326005,-0.019581012427806854,0.019581012427806854,0.0003834160476979265,0.4046595524780089,0.19856560441531607,2.037913633982805,1.0,19,0.6021929950544105,medium
