quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.51,0.010000000000000009,0.9,0.86,-0.040000000000000036,0.07513625827509472,0.17541568485398606
gamma,0.5,0.3,-0.2,0.9,0.57,-0.33000000000000007,0.05203938732011518,0.12053573071260565
R0,0.5,0.23,-0.27,0.9,0.68,-0.21999999999999997,0.28881654741118923,0.7106263823412733
