case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,tau_used,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity
0,0.8,1.0,-0.005114295817911625,0.010950329382903874,0.015176939607229874,0.0006149153786656611,0.006837954107836327,0.007641011882923659,-0.00806570764645144,0.013068825736726549,0.017858389699675303,0.010217377816751643,0.006230871628890222,tau,17,17,0.15958999512262434,0.33796092457181953,0.47221434053305805,0.15958999512262434,0.24438121640064708,0.47221434053305805,0.7231049468522626,time_avg,0.26104133230789256,0.33796092457181953,17,0.4111501581324144,strong
1,0.34,0.72,0.010049282400868833,0.030298141413368285,0.03854541065356404,-0.00917969255533535,0.01894473582797218,0.023501520455716556,0.019098211792023742,0.035640920512378216,0.04387491937411965,0.020373398918403094,0.016696184684406035,tau,16,16,0.22326653709606498,0.09375293050568131,2.3814352883885084,0.22326653709606498,0.2015638209520895,2.3814352883885084,2.1499468855522865,time_avg,0.38426463760700225,0.09375293050568131,16,0.38385714077019234,strong
2,0.88,0.98,-0.0019338839604097302,0.00822297489776247,0.012007548571258509,-0.002664261679028106,0.010549490172279012,0.016487689881371014,-0.0015576287720305668,0.007024467029072129,0.008855257871344219,-0.007632432010026795,-0.0035250231432068834,tau,17,17,0.18802080773586802,0.42381710222092844,0.4436366695694504,0.18802080773586802,0.2696861517890352,0.4436366695694504,0.6363267323942311,time_avg,0.27537615462093723,0.42381710222092844,17,0.5193607581175967,strong
3,0.52,0.88,-0.0036416085192468015,0.01640112821594812,0.022041246894983168,-0.009168968512676656,0.018991283257491887,0.024517944382025265,4.329814303976794e-05,0.014674358188252275,0.020222294874616784,-0.004295649507408482,-0.0043169250692396115,tau,20,20,0.3540694204744074,0.20865185201255343,1.6969387861129794,0.3540694204744074,0.41442582129206157,1.6969387861129794,1.9862072504735202,time_avg,0.5088133920563621,0.20865185201255343,20,0.493121401028908,strong
4,0.78,0.98,-0.0071273724484490234,0.010547693220432848,0.014632140093454149,-0.008569031350634759,0.013219487571768695,0.018357707879554402,-0.0061662665136585325,0.00876649698620895,0.011496184024713509,-0.006861523854840894,-0.004452990585559745,tau,20,20,0.10657360557899363,0.18700362221474154,0.569901290236037,0.10657360557899363,0.14958984778613685,0.569901290236037,0.7999302153321854,time_avg,0.18254132540300172,0.18700362221474154,20,0.3063879310954932,strong
5,0.18,0.5,0.0142566142603755,0.04231861161068082,0.05088415564681975,-0.01414379065058061,0.023988739786935703,0.03130348809343316,0.025301216170191765,0.04944689509769281,0.056701251127453806,0.025397763034020644,0.025458155310757107,tau,14,14,0.1841274786221553,0.07434764212810198,2.4765745537013966,0.1841274786221553,0.15666004663968383,2.4765745537013966,2.107128648004149,time_avg,0.293222378204653,0.07434764212810198,14,0.48325671869823295,strong
6,0.6,0.88,0.0019104028958827257,0.01681574054993689,0.021757774198726376,0.0030469055004093957,0.01857892103979121,0.023141378149399462,0.000942271047582229,0.015313771984505432,0.02050564430256323,-0.002635733846836231,-0.003265149055285778,tau,23,23,0.5364399227283639,0.12007176008901925,4.467661024795973,0.5364399227283639,0.7285531654428412,4.467661024795973,6.0676479207325995,time_avg,0.8072158415831313,0.12007176008901925,23,0.37880693002176785,strong
7,0.48,0.86,-0.0017633268190547823,0.015953309736214578,0.02090294696512248,-0.0034701800693503833,0.016642092578959735,0.023008196539696765,-0.00042222783667966723,0.01541212321691481,0.019086610130001798,-0.003921586409694967,-0.0012299693620449244,tau,22,22,0.37015002697460625,0.2922467506437757,1.2665667835800443,0.37015002697460625,0.41893456065599743,1.2665667835800443,1.4334960430976478,time_avg,0.48996164703975054,0.2922467506437757,22,0.5633345531481102,strong
8,0.64,0.92,-0.0024463112456396627,0.01364316302797306,0.018245783452818954,-0.003403168258955702,0.015672535431804135,0.020513119075647193,-0.001996025592314468,0.012688164249699612,0.0170749402057098,-0.003438178869937393,-0.0029843711821045237,tau,16,16,0.35023737882502554,0.33693931512896735,1.0394672366772284,0.35023737882502554,0.40517987388017673,1.0394672366772284,1.202530710092675,time_avg,0.5227998506544365,0.33693931512896735,16,0.5145975259787482,strong
9,0.48,0.88,0.001058012624271214,0.01785033438820392,0.022454243832499162,-0.007156180930905975,0.018563017176347785,0.021282968656563178,0.004923515473766362,0.017514954252606806,0.022984788593306868,0.0017018199367436898,-0.0010480629237409785,tau,16,16,0.29105786706411596,0.12948875842959828,2.2477462182353163,0.29105786706411596,0.2968270877814025,2.2477462182353163,2.2923000527708695,time_avg,0.4646839378666684,0.12948875842959828,16,0.45052446134723173,strong
