quantity,bias_mean_est,bias_median_est,MAE_median_est,RMSE_median_est,corr_truth_vs_median,avg_post_std
beta,0.06293095995031639,0.05436707784074476,0.07142728422082847,0.09307983928625357,0.39411510739825945,0.058793952034827165
gamma,0.06446481558671886,0.06923370064609638,0.09902233130425234,0.13199962385937328,0.45376217675178465,0.07398698386355768
R0,0.12769028428857346,0.10407159870759733,0.26730972856928686,0.3474461080228664,0.939511982597172,0.41134063361733625
