feature,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,bias_mean_pred,bias_median_pred,MAE_median_pred,RMSE_median_pred,avg_pred_std,avg_width50,avg_width90
peak_time,0.5,0.57,0.06999999999999995,0.9,0.91,0.010000000000000009,-3.7768999999999995,-3.555,8.885,11.729556683864912,11.581508253752466,18.83,34.414500000000004
peak_height,0.5,0.61,0.10999999999999999,0.9,0.98,0.07999999999999996,0.016795071782916785,0.013465620521456003,0.02462579732760787,0.04176744866151608,0.04058195384217588,0.04102282918058336,0.12204951934609558
cumulative_infected,0.5,0.62,0.12,0.9,0.99,0.08999999999999997,0.5725133596620234,0.43665389962483003,0.6180437563923488,1.082652557992245,1.038297381037962,1.035788328139297,3.1116721455061107
early_growth_slope,0.5,0.45,-0.04999999999999999,0.9,0.86,-0.040000000000000036,0.0008114746220854042,0.0008136952048182265,0.0020683772641230756,0.0026539712486708493,0.0023882810609143416,0.003169367451954971,0.007674912581449806
