quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.25,-0.25,0.9,0.55,-0.35,0.08145607770235488,0.1905617273591669
gamma,0.5,0.23,-0.27,0.9,0.71,-0.19000000000000006,0.10908597828960613,0.23612335369403073
R0,0.5,0.58,0.07999999999999996,0.9,1.0,0.09999999999999998,0.5106831242014579,1.3507425372630535
