quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.31,-0.19,0.9,0.66,-0.24,0.07904595628565894,0.18558927003159478
gamma,0.5,0.25,-0.25,0.9,0.48,-0.42000000000000004,0.05453904561734025,0.12572921954680308
R0,0.5,0.17,-0.32999999999999996,0.9,0.57,-0.33000000000000007,0.2611003562528609,0.6509155276353882
