feature,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,bias_mean_pred,bias_median_pred,MAE_median_pred,RMSE_median_pred,avg_pred_std,avg_width50,avg_width90
peak_time,0.5,0.63,0.13,0.9,0.94,0.039999999999999925,-0.30369999999999997,-0.94,5.23,8.438601779915912,6.621663969987484,10.2675,20.5175
peak_height,0.5,0.51,0.010000000000000009,0.9,0.78,-0.12,-0.015626668033190075,-0.01690059406682849,0.021185267176479103,0.03267651564850133,0.018842290912151588,0.022671277606859802,0.056959546837955705
cumulative_infected,0.5,0.73,0.22999999999999998,0.9,0.97,0.06999999999999995,-0.0325136777526014,-0.07111477686784155,0.1530060953060024,0.2385350383448893,0.3164127240249802,0.340880424346193,0.8829808011141386
early_growth_slope,0.5,0.49,-0.010000000000000009,0.9,0.95,0.04999999999999993,-0.0008078322123493406,-0.0007735750139761964,0.0024288630743406724,0.003505873815638712,0.0035677496299203826,0.004413448985861641,0.01090426689724183
