quantity,bias_mean_est,bias_median_est,MAE_median_est,RMSE_median_est,corr_truth_vs_median,avg_post_std
beta,0.00641285333438002,0.0005211405498583644,0.038214150203392874,0.05991675942902224,0.9736526629250987,0.05403162253352969
gamma,0.009976807544130835,0.014737421956274472,0.0394543556316329,0.06227876915080145,0.8905957873681644,0.04073849264856885
R0,-0.238487041851623,-0.2505741356178676,0.31475178153047223,0.49381905612744015,0.995652450399402,0.22466886639031194
