quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.52,0.020000000000000018,0.9,0.86,-0.040000000000000036,0.06962721528207584,0.17158300223859269
gamma,0.5,0.34,-0.15999999999999998,0.9,0.57,-0.33000000000000007,0.0633045124492284,0.12817430080056577
R0,0.5,0.3,-0.2,0.9,0.64,-0.26,0.29865190050846413,0.7284870967976376
