metric,mean,std,median,q05,q95
pointwise_empirical_50,0.633,0.10104004606635383,0.64,0.48,0.8209999999999998
pointwise_empirical_90,0.9338,0.038632691447592,0.94,0.86,1.0
curve_bias_full,-0.0034334388295181265,0.0038519767436461785,-0.00390803450201929,-0.007506949737728064,0.0030669821231276706
curve_mae_full,0.014197287768198745,0.0033807072246861605,0.01405627805106633,0.008053426015015476,0.020102725693250247
curve_rmse_full,0.018605287054187264,0.003460483101385938,0.018526182687690615,0.012377221121717278,0.025036672189447405
curve_bias_early,-0.003542723647114053,0.004346658858228303,-0.0038369673257693648,-0.009743903614580633,0.004360068669659085
curve_mae_early,0.015405451721493315,0.0034773666971622515,0.01601201292593032,0.0086409785515134,0.02022991539002396
curve_rmse_early,0.019458826638581048,0.0036412453906918925,0.019686860070523185,0.01201885529763546,0.024920179216765547
curve_bias_late,-0.0033241540119222012,0.006398063156631588,-0.003903195509192301,-0.011314951858104905,0.008956466883420944
curve_mae_late,0.01298912381490418,0.004547926066198023,0.01191828004157287,0.006897742630986614,0.020536105558276174
curve_rmse_late,0.017344938608604515,0.004862232274011924,0.017024300352742494,0.00987576166775094,0.02647041484022508
late_minus_early_rmse,-0.0021138880299765308,0.005040122709594151,-0.0020346580970148943,-0.008923583698213453,0.006401600389210294
late_minus_early_mae,-0.0024163279065891404,0.0044536160526130065,-0.0019793020750375956,-0.009033929861849175,0.0037663632406620263
