case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,beta_ref,gamma_ref,R0_ref,beta_seir,gamma_seir,sigma_seir,sigma,severity,reference_mode,reference_window_days,projection_loss
0,0.78,1.0,-0.0059307903301669285,0.011609036534209735,0.01638974836631251,-0.002840341984992847,0.008924444183940068,0.011509351843098129,-0.00902123867534101,0.014293628884479404,0.020119207816757124,0.008609855973658995,0.005369184700539336,fraction,25,0.10189534092389715,0.15814871086061533,0.6443007999837749,0.10189534092389715,0.15814871086061533,0.6443007999837749,0.26104133230789256,0.33796092457181953,0.4270878808004396,0.4270878808004396,pooled,full_curve,50,2.6615740281136814e-06
1,0.58,0.9,0.01712676534894854,0.02287640394177288,0.030755704110142956,0.010159501330927015,0.019823427526280284,0.02547997004507412,0.02409402936697006,0.025929380357265473,0.03525050066486226,0.00977053061978814,0.006105952830985188,fraction,25,0.2713565826812055,0.08538667166611949,3.177973533647838,0.2713565826812055,0.08538667166611949,3.177973533647838,0.38426463760700225,0.09375293050568131,0.4469875793470971,0.4469875793470971,pooled,full_curve,50,0.004055805891564621
2,0.8,0.96,-0.005231378670723643,0.010454188482544851,0.015268448076755241,-0.0036600867786910386,0.009596359591232612,0.01590331877220127,-0.006802670562756248,0.011312017373857088,0.01460600785207554,-0.001297310920125732,0.0017156577826244763,fraction,25,0.3019753754161814,0.28588678751502883,1.0562760806156766,0.3019753754161814,0.28588678751502883,1.0562760806156766,0.13019504140257454,0.13768807731046862,0.6814932701214442,0.6814932701214442,pooled,full_curve,50,2.292390267655354e-05
3,0.8,1.0,0.007036063324194402,0.015003112524282188,0.01928427998618919,0.005078951767645776,0.012600382207892835,0.015379621127416908,0.008993174880743027,0.01740584284067154,0.022521859673405868,0.007142238545988959,0.004805460632778705,fraction,25,0.2495076042891686,0.1764889868754388,1.4137290303857,0.2495076042891686,0.1764889868754388,1.4137290303857,0.41698839604645543,0.25440669602818106,0.3467917697973054,0.3467917697973054,pooled,full_curve,50,0.00014082337989292277
4,0.56,0.9,0.010939787379465998,0.015583972758613528,0.020385938350100195,0.01310058648698032,0.018998572332784534,0.02411181357970369,0.008778988271951676,0.012169373184442521,0.015804854024184738,-0.008306959555518953,-0.006829199148342013,fraction,25,0.33914337645719456,0.17664203646373305,1.919947161200359,0.33914337645719456,0.17664203646373305,1.919947161200359,0.917557242696752,0.24002109931769794,0.16419880864677913,0.16419880864677913,pooled,full_curve,50,0.0030780689097776462
5,0.38,0.86,0.00403135297819972,0.01944402052089572,0.022696161961508976,0.005734939575195313,0.018551543056964874,0.022256701827431075,0.0023277663812041284,0.020336497984826566,0.02312727306300767,0.0008705712355765935,0.001784954927861692,fraction,25,0.38024656943060103,0.21502581236262275,1.7683763881768182,0.38024656943060103,0.21502581236262275,1.7683763881768182,0.8360565185976389,0.2979746339392359,0.2502840719369524,0.2502840719369524,pooled,full_curve,50,0.0025075760507690626
6,0.7,0.96,-0.006833204631693662,0.014058794709853828,0.01908786717007562,-0.003647930398583412,0.011942907925695181,0.016209083008783085,-0.01001847886480391,0.016174681494012477,0.02158608288271128,0.005376999873928194,0.0042317735683172954,fraction,25,0.18175408828914721,0.1512011235710007,1.2020683708993705,0.18175408828914721,0.1512011235710007,1.2020683708993705,0.7221485915160983,0.4838620984718143,0.2337648838686423,0.2337648838686423,pooled,full_curve,50,0.00030710558356338003
7,0.44,0.84,0.0010152262664632871,0.018927616284345278,0.023453119264869208,0.0007209467014763504,0.017828537753084673,0.022449226980451514,0.0013095058314502239,0.02002669481560588,0.024415769790947124,0.00196654281049561,0.002198157062521206,fraction,25,0.38014901514500415,0.17838422349335806,2.1310685872350064,0.38014901514500415,0.17838422349335806,2.1310685872350064,0.5203767225037499,0.2023453575170162,0.6280045942112092,0.6280045942112092,pooled,full_curve,50,0.0016660444103145462
8,0.58,0.96,0.004176665777340532,0.017327413531020283,0.021420443278063517,0.00256136329844594,0.015575805101543666,0.020362881546273123,0.005791968256235122,0.019079021960496902,0.022428192873923714,0.002065311327650591,0.0035032168589532366,fraction,25,0.31741533393114496,0.11524265800370648,2.7543215284129956,0.31741533393114496,0.11524265800370648,2.7543215284129956,0.4925504189295422,0.12980289857070007,0.39929238147204527,0.39929238147204527,pooled,full_curve,50,0.00580530930140112
9,0.46,0.88,0.011477201671805232,0.020444315855856984,0.02522808949848384,0.01401649448554963,0.018343875627033414,0.02309404110945909,0.008937908858060837,0.022544756084680557,0.027195188264132954,0.004101147154673863,0.004200880457647143,fraction,25,0.31731199436351926,0.1676551930410817,1.892646380990812,0.31731199436351926,0.1676551930410817,1.892646380990812,0.8213335072767307,0.23056740893602845,0.16582837346392312,0.16582837346392312,pooled,full_curve,50,0.002958047249970338
