quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.55,0.050000000000000044,0.9,0.91,0.010000000000000009,0.07361900733904736,0.16978680437622173
gamma,0.5,0.55,0.050000000000000044,0.9,0.9,0.0,0.05592311813308,0.12657967729482147
R0,0.5,0.55,0.050000000000000044,0.9,0.93,0.030000000000000027,0.3191852934550374,0.7873902133718154
