train_seed,beta_corr,gamma_corr,R0_corr,beta_emp90,gamma_emp90,R0_emp90
11,0.9703217311235126,0.865655950453438,0.9982725501220118,0.91,0.89,0.94
22,0.971866042625734,0.8677573777860363,0.9977801285827755,0.91,0.92,0.94
42,0.9699169045595554,0.8720984784393322,0.9962203202987716,0.94,0.92,0.97
