case_id,true_beta,true_gamma,true_R0,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
10,0.6356625754365786,0.3102292114731212,2.0490094160319052,0.639852358244795,0.6401397068067989,0.02429362849339923,0.6237963073066477,0.6552708656411881,0.5998114727503526,0.6791964178351038,0.03147455833454038,0.07938494508475114,0.3100680992703035,0.3095036036870108,0.014125561688673403,0.3002725277449545,0.3189710616522976,0.28838012357797566,0.3333997790183561,0.018698533907343107,0.045019655440380446,2.0652913785780758,2.0631515829862694,0.0665398696609936,2.0216964969044433,2.108134936179642,1.960985004305999,2.174273397580557,0.08643843927519868,0.21328839327455773,1.0,1.0,0.004189782808216469,0.004477131370220322,0.004477131370220322,2.0044705306210896e-05,1.0,1.0,-0.00016111220281772587,-0.000725607786110416,0.000725607786110416,5.265066592640592e-07,1.0,1.0,0.016281962546170536,0.01414216695436421,0.01414216695436421,0.00020000088616511108
11,0.24614667657025313,0.11540148099097225,2.1329594252738313,0.22428701512604254,0.22402587067780871,0.011583077107093833,0.21594985776184356,0.23151595142325537,0.20646848006069202,0.24452049385697786,0.015566093661411817,0.03805201379628584,0.10131105924688127,0.10016539951031994,0.011945938963566974,0.09282995688570042,0.10849062786235225,0.08344361086906008,0.12261521067729257,0.01566067097665183,0.039171599808232496,2.238241649305023,2.2400502193229306,0.23291363391912065,2.086403217475234,2.3909353039392016,1.855348591421537,2.6169849384794843,0.30453208646396757,0.7616363470579472,0.0,0.0,-0.021859661444210587,-0.022120805892444417,0.022120805892444417,0.0004893300533312037,0.0,1.0,-0.014090421744090975,-0.015236081480652308,0.015236081480652308,0.00023213817888507622,1.0,1.0,0.1052822240311917,0.10709079404909927,0.10709079404909927,0.011468438170066595
12,0.8105817407571343,0.107957928598429,7.508311351288097,0.8103099343786828,0.8123790340127207,0.037946541678321795,0.7861838313002539,0.8378145208746587,0.7441400131626702,0.8687779097206692,0.05163068957440475,0.12463789655799895,0.1119309280745418,0.11174544504849027,0.005106752835855313,0.10845144120939684,0.1152338562615997,0.10406311885680175,0.12071294262204948,0.006782415052202853,0.016649823765247734,7.254113865462053,7.235353148825382,0.47082503646106033,6.934197408404355,7.5594334174153675,6.49791136509329,8.03266766189147,0.6252360090110125,1.5347562967981796,1.0,1.0,-0.0002718063784514779,0.0017972932555864185,0.0017972932555864185,3.230263046576427e-06,0.0,1.0,0.003972999476112807,0.0037875164500612707,0.0037875164500612707,1.434528085948473e-05,1.0,1.0,-0.25419748582604385,-0.27295820246271507,0.27295820246271507,0.07450618029167655
13,0.459544095188684,0.3100461321934748,1.4821797386652111,0.492554794568822,0.49172818680079283,0.034486341086911024,0.4695030132796242,0.5158589081638757,0.4345091284530922,0.5496863102064283,0.046355894884251514,0.11517718175333613,0.3241006127301171,0.32327815199470405,0.02699045171645997,0.3058893359346291,0.34090363384827604,0.28023862342362593,0.3709959246069743,0.03501429791364696,0.09075730118334835,1.5234683234170214,1.5210529677461468,0.0820050934412272,1.4663681855154715,1.5772648106320144,1.388973355291844,1.6590825937871365,0.11089662511654286,0.27010923849529256,0.0,1.0,0.03301069938013801,0.032184091612108834,0.032184091612108834,0.0010358157528966142,1.0,1.0,0.014054480536642266,0.013232019801229233,0.013232019801229233,0.0001750863480201225,1.0,1.0,0.0412885847518103,0.03887322908093571,0.03887322908093571,0.001511127939178906
14,0.7789514461121113,0.45231282488814134,1.7221520223415043,0.7619682765834332,0.7683881411505942,0.05082191306095484,0.7321129464695874,0.800339841982239,0.6697255162442571,0.8330446635173134,0.0682268955126516,0.1633191472730563,0.43509327595982106,0.4362320169069106,0.02609495630465228,0.41719017543740705,0.4542332871354898,0.3905668396839231,0.47437298305984,0.037043111698082776,0.08380614337591691,1.7516419141101687,1.7498598840253279,0.06483454063417113,1.7133043713984284,1.7914103400387535,1.6477452620793713,1.858366371281445,0.07810596864032515,0.21062110920207378,1.0,1.0,-0.016983169528678066,-0.01056330496151714,0.01056330496151714,0.0001115834117100126,1.0,1.0,-0.017219548928320283,-0.016080807981230738,0.016080807981230738,0.0002585923853292142,1.0,1.0,0.029489891768664345,0.027707861683823554,0.027707861683823554,0.0007677255990898974
15,0.10455465732542506,0.11411673289916074,0.9162079448753128,0.32770314326095185,0.31788830952321717,0.1287027312052412,0.226276646974286,0.42398920837808635,0.12995283413404551,0.5467365020582404,0.19771256140380034,0.4167836679241949,0.3820988050370619,0.404801942444403,0.09035801632880276,0.3297886791815695,0.45259424896956524,0.2039983266129883,0.48935388323672535,0.12280556978799573,0.285355556623737,0.8575087871096571,0.8683433382381116,0.2449083701796313,0.6989285792381238,1.028455183281984,0.4312171660222207,1.2232947070787148,0.32952660404386014,0.7920775410564941,0.0,0.0,0.22314848593552677,0.2133336521977921,0.2133336521977921,0.04551124716004853,0.0,0.0,0.26798207213790115,0.29068520954524224,0.29068520954524224,0.08449789104836139,1.0,1.0,-0.05869915776565571,-0.04786460663720116,0.04786460663720116,0.002291020568534001
16,0.7982887930895484,0.11686131841277303,6.831078101223055,0.7617438178388691,0.7627701841402819,0.03168191782349512,0.7421461228375188,0.7831608763799963,0.7088051001022444,0.8118107716851082,0.04101475354247752,0.10300567158286378,0.11746392036453002,0.11731768951195462,0.005300419950062999,0.11373994443544823,0.12074918628782165,0.10916477240663648,0.12657816001046387,0.007009241852373421,0.017413387603827393,6.497443930121281,6.471319683427138,0.38916316925655936,6.24410471795755,6.759306426842831,5.875686233218291,7.164813560586602,0.5152017088852805,1.2891273273683108,0.0,1.0,-0.036544975250679235,-0.035518608949266506,0.035518608949266506,0.0012615715816909148,1.0,1.0,0.0006026019517569869,0.0004563710991815906,0.0004563710991815906,2.082745801682132e-07,0.0,1.0,-0.3336341711017736,-0.35975841779591633,0.35975841779591633,0.1294261191750211
17,0.6326167395983572,0.40379855986921687,1.5666641797911574,0.6754547176092606,0.6780879965461267,0.047881777577479245,0.6461483751118842,0.7084283458315828,0.5920425107417114,0.7482345298562411,0.062279970719698596,0.15619201911452962,0.4141784920897278,0.4143159418315432,0.027199723822660518,0.3966803727221951,0.4329170983219823,0.3688880701614378,0.4563644027933078,0.03623672559978719,0.08747633263186999,1.631376314384195,1.628835840906699,0.06284015118765639,1.5926526394828926,1.6691612796860964,1.535265275961794,1.7379312042974355,0.0765086402032038,0.20266592833564157,0.0,1.0,0.04283797801090339,0.045471256947769545,0.045471256947769545,0.00206763520841008,1.0,1.0,0.010379932220510923,0.010517381962326322,0.010517381962326322,0.00011061532334146708,0.0,1.0,0.0647121345930377,0.06217166111554162,0.06217166111554162,0.00386531544586575
18,0.39531741434728207,0.4055263857896645,0.9748253830080553,0.2303108729225528,0.21458605423966542,0.08936104721697653,0.15934739398326908,0.2835021471811763,0.11453408646757247,0.4048143532875606,0.1241547531979072,0.29028026681998814,0.32616151704698043,0.3370206722697755,0.09483446805391972,0.25903348527233117,0.40115652367568244,0.15171875261277387,0.4618087232188168,0.14212303840335128,0.31008997060604293,0.7292509639439045,0.732961756895008,0.22432463074615527,0.5725283418910817,0.8776757632644707,0.36232007221478507,1.0910652206187401,0.305147421373389,0.7287451484039551,0.0,1.0,-0.16500654142472926,-0.18073136010761665,0.18073136010761665,0.03266382452634901,0.0,1.0,-0.07936486874268406,-0.06850571351988899,0.06850571351988899,0.004693032784869101,0.0,1.0,-0.24557441906415078,-0.24186362611304735,0.24186362611304735,0.05849801363655196
19,0.5914249487053967,0.1603217105393957,3.6889885138798246,0.5857682027444714,0.5858054947577216,0.014477675279727698,0.5757666500682561,0.595639241376852,0.5622784160740137,0.6094653122274853,0.019872591308595866,0.0471868961534716,0.16210984975331433,0.16199552241054058,0.005769408881218871,0.15821306901238974,0.1658929476454469,0.1530260740289663,0.17188696311979168,0.007679878633057163,0.018860889090825367,3.6173127183127525,3.6130539032135465,0.14071936455982617,3.518151023769292,3.7104557665203557,3.3958144166194755,3.851416898330945,0.1923047427510638,0.45560248171146966,1.0,1.0,-0.005656745960925358,-0.005619453947675157,0.005619453947675157,3.157826267004191e-05,1.0,1.0,0.001788139213918627,0.0016738118711448757,0.0016738118711448757,2.80164617998551e-06,1.0,1.0,-0.07167579556707215,-0.07593461066627816,0.07593461066627816,0.005766065097039245
