bin,n_cases,gamma_MAE_median_est,gamma_bias_median_est,gamma_empirical_90,gamma_ci95_90_low,gamma_ci95_90_high
"(0.050499999999999996, 0.125]",25,0.03176721627704397,0.021780439453721084,0.84,0.6534637839282114,0.9359654854332355
"(0.125, 0.234]",25,0.034892025437878865,0.029239480531393688,0.92,0.7503389104960468,0.9777795987151524
"(0.234, 0.358]",25,0.02502783610719323,0.0187253143165827,1.0,0.8668077490609515,0.9999999999999999
"(0.358, 0.5]",25,0.05123380730061248,-0.041176826012129374,0.84,0.6534637839282114,0.9359654854332355
