quantity,n_cases,nominal_50,k_50,empirical_50,diff_50,ci95_50_low,ci95_50_high,nominal_90,k_90,empirical_90,diff_90,ci95_90_low,ci95_90_high
beta,100,0.5,53,0.53,0.030000000000000027,0.4328885697009936,0.6248918204065872,0.9,94,0.94,0.039999999999999925,0.8752318455410406,0.9722138760368118
gamma,100,0.5,51,0.51,0.010000000000000009,0.4134801193402717,0.6057800106955886,0.9,90,0.9,0.0,0.8256343384950865,0.9447708629393249
R0,100,0.5,53,0.53,0.030000000000000027,0.4328885697009936,0.6248918204065872,0.9,97,0.97,0.06999999999999995,0.9154806357094724,0.9897454759759611
