feature,n_cases,nominal_50,k_50,empirical_50,diff_50,ci95_50_low,ci95_50_high,nominal_90,k_90,empirical_90,diff_90,ci95_90_low,ci95_90_high,avg_pred_width50,avg_pred_width90
cumulative_infected,100,0.5,74,0.74,0.24,0.6462901055081282,0.8159530153525186,0.9,100,1.0,0.09999999999999998,0.9630065017930143,1.0,0.5047641295735366,1.5417394887611775
early_growth_slope,100,0.5,58,0.58,0.07999999999999996,0.4820648670304296,0.6720161732564526,0.9,92,0.92,0.020000000000000018,0.8500189229905127,0.9589065385156194,0.004641834428557746,0.011278840992727426
peak_height,100,0.5,59,0.59,0.08999999999999997,0.4920143005341078,0.6813268697886348,0.9,95,0.95,0.04999999999999993,0.8882495307680808,0.9784563208456319,0.02543379277922213,0.07254005138296632
peak_time,100,0.5,65,0.65,0.15000000000000002,0.5525444329688796,0.7363575175690247,0.9,92,0.92,0.020000000000000018,0.8500189229905127,0.9589065385156194,11.82,22.526500000000002
