quantity,bias_mean_est,bias_median_est,MAE_median_est,RMSE_median_est,corr_truth_vs_median,avg_post_std
beta,-0.0011079448557406444,-0.003474196011270297,0.03750807221091083,0.06165844510797235,0.9704549744509572,0.0524884419391268
gamma,0.003968235734444612,0.008315484201776307,0.03506665038397059,0.0653775080441541,0.8688289678581723,0.039047039008354045
R0,-0.07516639464787399,-0.08029523033188037,0.15969386612997297,0.2515324246890159,0.9969922849335443,0.24121427083680097
