bin,n_cases,gamma_MAE_median_est,gamma_bias_median_est,gamma_empirical_90,gamma_ci95_90_low,gamma_ci95_90_high
"(0.009000000000000001, 0.017]",25,0.10297450948381613,0.02210131946010561,0.76,0.5657031664457093,0.8850368630659855
"(0.017, 0.153]",25,0.02594644531714163,0.0012995424086842866,0.96,0.8045593626380625,0.9929037664980127
"(0.153, 0.352]",25,0.011286706698260532,0.004927396966389604,0.88,0.7004420607907267,0.9583318284955964
"(0.352, 0.721]",25,0.0027132236235102723,0.00024014945438859513,1.0,0.8668077490609515,0.9999999999999999
