case_id,feature,observed_value,pred_mean,pred_median,pred_std,pred_ci50_low,pred_ci50_high,pred_ci90_low,pred_ci90_high,pred_width50,pred_width90,covered50,covered90,err_mean,err_median,abs_err_median,sq_err_median,true_beta,true_gamma,true_R0
0,peak_time,47.0,24.71,24.0,14.609596265136933,13.0,39.0,2.0,48.05,26.0,46.05,0.0,1.0,-22.29,-23.0,23.0,529.0,0.26104133230789256,0.33796092457181953,0.7724009296004251
0,peak_height,0.0631975382566452,0.05229852572083473,0.04885975643992424,0.014647977600015415,0.042890473268926144,0.05954332835972309,0.034589911438524724,0.08155477456748485,0.016652855090796947,0.04696486312896012,0.0,1.0,-0.010899012535810472,-0.014337781816720963,0.014337781816720963,0.00020557198742389426,0.26104133230789256,0.33796092457181953,0.7724009296004251
0,cumulative_infected,0.6088357381104288,0.6255436523231219,0.4795875600539148,0.38552763126748846,0.3936680717743002,0.6802253672649385,0.31679480577586216,1.3920398889807983,0.28655729549063835,1.075245083204936,1.0,1.0,0.01670791421269313,-0.129248178056514,0.129248178056514,0.016705091530928348,0.26104133230789256,0.33796092457181953,0.7724009296004251
0,early_growth_slope,-0.002386730559270029,-0.0005874462645893098,-0.0006189741349468623,0.0022324890689234883,-0.00207195400954723,0.0010293550814302371,-0.004118192448264119,0.00297757750335482,0.0031013090909774673,0.007095769951618939,0.0,1.0,0.001799284294680719,0.0017677564243231665,0.0017677564243231665,3.124962775735827e-06,0.26104133230789256,0.33796092457181953,0.7724009296004251
1,peak_time,26.0,26.38,26.0,14.290478570634985,15.75,38.25,3.0,48.0,22.5,45.0,1.0,1.0,0.379999999999999,0.0,0.0,0.0,0.23390829074336805,0.19213231880350112,1.2174333407311466
1,peak_height,0.06995556503534317,0.05808172119781375,0.05341680534183979,0.02082657415540241,0.04430236108601093,0.06284260470420122,0.035727756284177306,0.09673175327479835,0.01854024361819029,0.06100399699062105,0.0,1.0,-0.011873843837529423,-0.01653875969350338,0.01653875969350338,0.000273530572199452,0.23390829074336805,0.19213231880350112,1.2174333407311466
1,cumulative_infected,1.0979140613926575,0.7870647665176478,0.5835455939522944,0.49556358385079463,0.4638557621583459,0.9323305928286061,0.36887814742221964,1.8864293656777589,0.4684748306702602,1.5175512182555393,0.0,1.0,-0.3108492948750097,-0.514368467440363,0.514368467440363,0.2645749202969478,0.23390829074336805,0.19213231880350112,1.2174333407311466
1,early_growth_slope,-0.0032581384875811628,0.00022573494353797093,0.0003880794820794283,0.002420173473552253,-0.0015822693745749762,0.0018179276150823123,-0.003929812183265485,0.003986128054800376,0.0034001969896572887,0.007915940238065862,0.0,1.0,0.0034838734311191336,0.003646217969660591,0.003646217969660591,1.3294905482275804e-05,0.23390829074336805,0.19213231880350112,1.2174333407311466
2,peak_time,7.0,21.95,21.5,14.736318770611978,9.0,34.0,1.0,48.05,25.0,47.05,0.0,1.0,14.95,14.5,14.5,210.25,0.4709300681629338,0.4296197493409783,1.0961555396029259
2,peak_height,0.06679648905992508,0.04969335984438658,0.04813734069466591,0.01083276556440435,0.04297875240445137,0.05645952932536602,0.0349319277331233,0.06976940147578715,0.01348077692091465,0.034837473742663855,0.0,1.0,-0.0171031292155385,-0.01865914836525917,0.01865914836525917,0.000348163817716754,0.4709300681629338,0.4296197493409783,1.0961555396029259
2,cumulative_infected,0.566869409987703,0.5355221429524653,0.5141925142961554,0.18162369844192525,0.42881193893845193,0.6025375471399457,0.29623765671385627,0.8462326600099912,0.17372560820149374,0.5499950032961349,1.0,1.0,-0.031347267035237714,-0.05267689569154754,0.05267689569154754,0.0027748553396981803,0.4709300681629338,0.4296197493409783,1.0961555396029259
2,early_growth_slope,0.0035136446711562927,-0.0003742087354667734,-0.0004881249042227858,0.002118677475603384,-0.002169879594713987,0.0008619884926398906,-0.003372003271388596,0.0035350458668766613,0.0030318680873538777,0.006907049138265257,0.0,1.0,-0.003887853406623066,-0.004001769575379078,0.004001769575379078,1.601415973442965e-05,0.4709300681629338,0.4296197493409783,1.0961555396029259
3,peak_time,10.0,11.13,11.0,0.8605260312768293,11.0,12.0,10.0,12.0,1.0,2.0,0.0,1.0,1.1300000000000008,1.0,1.0,1.0,0.7161157027602989,0.10887303364351458,6.577530530701409
3,peak_height,0.5754033327102661,0.5588042068481446,0.5554336905479431,0.02192966627947963,0.5455154180526733,0.5717125982046127,0.5307624936103821,0.6040728837251663,0.026197180151939392,0.07331039011478424,0.0,1.0,-0.016599125862121533,-0.019969642162322998,0.019969642162322998,0.00039878660809122835,0.7161157027602989,0.10887303364351458,6.577530530701409
3,cumulative_infected,8.930334949865937,8.90227001712461,8.853821826487547,0.3738750924314437,8.66344077710528,9.153058741241693,8.307686831208411,9.51761320293881,0.48961796413641423,1.2099263717303987,1.0,1.0,-0.028064932741326487,-0.07651312337839045,0.07651312337839045,0.0058542580491167985,0.7161157027602989,0.10887303364351458,6.577530530701409
3,early_growth_slope,0.04490967249009935,0.042957487717652655,0.0429771537615341,0.0054249160327309075,0.039916838009265196,0.04560782199925077,0.03366551767047937,0.05227386661925784,0.005690983989985576,0.01860834894877847,1.0,1.0,-0.0019521847724466926,-0.001932518728565251,0.001932518728565251,3.734628636255454e-06,0.7161157027602989,0.10887303364351458,6.577530530701409
4,peak_time,9.0,9.16,9.0,1.0122482228418408,8.0,10.0,8.0,11.0,2.0,3.0,1.0,1.0,0.16000000000000014,0.0,0.0,0.0,0.8912560378449561,0.06082878979999215,14.651878506467856
4,peak_height,0.7305667400360107,0.7612913876771927,0.7627492547035217,0.02581171500716187,0.7463671267032623,0.7777506113052368,0.7109396904706955,0.8061458885669708,0.03138348460197449,0.09520619809627529,0.0,1.0,0.03072464764118199,0.032182514667510986,0.032182514667510986,0.0010357142503245598,0.8912560378449561,0.06082878979999215,14.651878506467856
4,cumulative_infected,15.38385815732181,15.824961404507048,15.862331412732601,0.7570161700832978,15.314904785220278,16.395561719546095,14.467752296989783,16.863078513141954,1.080656934325816,2.3953262161521707,1.0,1.0,0.44110324718523763,0.47847325541079044,0.47847325541079044,0.2289366561433995,0.8912560378449561,0.06082878979999215,14.651878506467856
4,early_growth_slope,0.09765097625287514,0.09514113237412641,0.09894863120003024,0.01465823841464991,0.08995566347480882,0.10527645934849886,0.06814937692972653,0.11324717841177644,0.015320795873690035,0.04509780148204991,1.0,1.0,-0.0025098438787487243,0.0012976549471550997,0.0012976549471550997,1.6839083618761044e-06,0.8912560378449561,0.06082878979999215,14.651878506467856
5,peak_time,16.0,17.05,17.0,1.3361712223190316,16.0,18.0,15.0,20.0,2.0,5.0,1.0,1.0,1.0500000000000007,1.0,1.0,1.0,0.4651160728464041,0.06241267709577952,7.452269226212318
5,peak_height,0.6442359089851379,0.5976423925161362,0.5983595848083496,0.023201664833673554,0.5810255110263824,0.6154815554618835,0.5591877520084381,0.6301977425813675,0.0344560444355011,0.07100999057292945,0.0,0.0,-0.04659351646900178,-0.04587632417678833,0.04587632417678833,0.0021046371199737735,0.4651160728464041,0.06241267709577952,7.452269226212318
5,cumulative_infected,14.484704890288413,14.083222806262784,14.172981265932322,0.7307426783340817,13.624909940699581,14.53804111800855,12.814038070221432,15.157224561809562,0.9131311773089692,2.3431864915881295,1.0,1.0,-0.4014820840256288,-0.311723624356091,0.311723624356091,0.09717161798169735,0.4651160728464041,0.06241267709577952,7.452269226212318
5,early_growth_slope,0.016362444414491095,0.015602936714276434,0.015844784225486186,0.00348181523127955,0.014052291058414126,0.017442892602134847,0.00873047806062026,0.02021578493423432,0.0033906015437207213,0.011485306873614059,1.0,1.0,-0.0007595077002146601,-0.0005176601890049086,0.0005176601890049086,2.679720712805977e-07,0.4651160728464041,0.06241267709577952,7.452269226212318
6,peak_time,14.0,12.37,12.0,1.368144064716206,12.0,13.0,10.0,15.0,1.0,5.0,0.0,1.0,-1.6300000000000008,-2.0,2.0,4.0,0.6946274882314609,0.3172978150655035,2.1891971997602973
6,peak_height,0.22603872418403625,0.2108304578065872,0.21022864431142807,0.01672037088603308,0.19713127240538597,0.21947716921567917,0.18846426159143448,0.241524039208889,0.022345896810293198,0.053059777617454534,0.0,1.0,-0.015208266377449042,-0.015810079872608185,0.015810079872608185,0.00024995862557825044,0.6946274882314609,0.3172978150655035,2.1891971997602973
