case_id,tau,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_pre,curve_mae_pre,curve_rmse_pre,curve_bias_post,curve_mae_post,curve_rmse_post,post_minus_pre_rmse,post_minus_pre_mae,true_beta,true_gamma,true_R0,rho0,eta,severity
10,30,0.44,0.82,-0.001505012270063162,0.02346871616318822,0.031020671138654917,-0.018181026726961137,0.022226429854830105,0.027795149640565862,0.023509009415283798,0.02533214562572539,0.03531075727620795,0.007515607635642088,0.0031057157708952836,0.8038212910639586,0.07123776024095313,11.283640703260884,1.0,0.6643149616474138,medium
11,18,0.74,1.0,-0.005253693116246723,0.011464062382583507,0.013943425815550765,-0.006610001935364885,0.013141343971559158,0.015881921772589742,-0.004490769405492756,0.010520591488784703,0.012723892717365052,-0.003158029055224691,-0.0026207524827744546,0.3238719434311089,0.31912832531902524,1.0148642966973915,1.0,0.8144982097583702,medium
12,27,0.58,0.94,-0.0005412746907677502,0.01579029246349819,0.019579012631385395,-0.0016355936553467203,0.01924902129987324,0.023120930748393137,0.0007433606154771279,0.011730045568623134,0.014345573377016951,-0.008775357371376186,-0.0075189757312501045,0.8181691861506857,0.14145428906121948,5.7839828794204555,1.0,0.7546406694313725,medium
13,26,0.52,0.92,-0.0013462618528865278,0.01497740855673328,0.018000747297485208,-0.0015435906243510544,0.014916302846708836,0.017804036329810456,-0.0011324890171332906,0.01504360640925976,0.018211453256275958,0.00040741692646550226,0.00012730356255092473,0.4084812812293266,0.2504221632829084,1.631170643501928,1.0,0.6629232758432623,medium
14,11,0.68,0.96,-0.005896968095912598,0.012925544987083412,0.01758006592802043,-0.006818535631861199,0.015097810188308358,0.021856459161540207,-0.005637038790901454,0.012312854802122531,0.01617071032469002,-0.005685748836850187,-0.002784955386185827,0.5768376673996122,0.4730841391115519,1.2193130559881136,1.0,0.6246261756444162,medium
15,27,0.42,0.88,-0.004132245891960338,0.02072316765668802,0.025346191347253397,-0.018529331173609803,0.020803671399200405,0.025767309631623977,0.012768680308236862,0.020628663263303915,0.02484272805678331,-0.0009245815748406688,-0.0001750081358964893,0.9747686208670832,0.09186883266130566,10.61043873781197,1.0,0.6154068808552888,medium
16,11,0.54,0.9,-0.0048359075115877205,0.013856112379871775,0.01866409891462109,-0.008989898826588284,0.019622612236575646,0.023141731129810987,-0.0036642689355619205,0.012229663702339914,0.017191599393240428,-0.005950131736570559,-0.007392948534235732,0.8026004559493382,0.2488160738059903,3.225677680997213,1.0,0.8421664710845636,medium
17,16,0.76,0.96,-0.0069535555326729085,0.010530708433652763,0.015399455104589625,-0.00808799933292903,0.013526110298698768,0.01695209865819998,-0.006419699626670028,0.009121107555984054,0.014611822865341576,-0.0023402757928584032,-0.004405002742714714,0.48599580521438634,0.4694343469120305,1.0352796049358088,1.0,0.7314358308337969,medium
18,21,0.84,0.96,-0.004069343461014796,0.009439031725923997,0.014099672538445084,-0.00370648596990144,0.010300239542543534,0.01554562828429511,-0.004332102333889985,0.0088153984794064,0.012952220620080774,-0.002593407664214337,-0.0014848410631371333,0.13987538898668073,0.4501426760732192,0.3107356765345415,1.0,0.6773396798965565,medium
19,12,0.82,0.98,-0.003055833341932157,0.008499254225898766,0.011778480276721844,-0.0002551419553734983,0.007914461151813157,0.010131105794222843,-0.0039402622008454175,0.008683925722978433,0.01225277436477084,0.002121668570547996,0.0007694645711652758,0.3428440512899446,0.4908563002374264,0.6984611405091704,1.0,0.720401526864318,medium
20,18,0.52,1.0,-0.0005184826429467649,0.01725242426735349,0.02012800499878753,-0.0032510694679028043,0.013812305577125194,0.015709018136697266,0.0010185974460910074,0.019187491030606907,0.02223096850877263,0.006521950372075362,0.005375185453481713,0.3546530781427295,0.23424459044779466,1.5140288937505684,1.0,0.8197546039405967,medium
