quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.3,-0.2,0.9,0.78,-0.12,0.07535736342801347,0.17514648175210668
gamma,0.5,0.48,-0.020000000000000018,0.9,0.96,0.05999999999999994,0.059397693955990066,0.13368925147453634
R0,0.5,0.46,-0.03999999999999998,0.9,0.82,-0.08000000000000007,0.2978928992885513,0.7298203319532108
