metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6188,0.12945324026126734,0.61,0.399,0.8409999999999999
pointwise_empirical_90,0.9286,0.04360103788960194,0.94,0.84,0.98
curve_bias_full,-0.0011176325426608172,0.0074663275969681165,-0.0036370349902426825,-0.006438038674015843,0.007914830291876567
curve_mae_full,0.015039507900528428,0.0053410184112851,0.014086841804964934,0.008279768349253572,0.02359286889340728
curve_rmse_full,0.01952131414624151,0.006087481801214599,0.0185669006596604,0.01230844072613345,0.028436536342412347
curve_bias_early,-0.0032968805283429448,0.004464244589419926,-0.0036031939764507113,-0.009365850586618762,0.006696730276104062
curve_mae_early,0.01557455340930078,0.0035582038779582302,0.016027292525395753,0.009161274963524191,0.020476639273809265
curve_rmse_early,0.019628805386071237,0.0039262376895359795,0.02015089517584861,0.012116600597655434,0.025234322442918986
curve_bias_late,0.0010616154430213103,0.012795730283806126,-0.0024305684154387565,-0.009633156143143425,0.021309031479060648
curve_mae_late,0.014504462391756075,0.008988719405009959,0.01197175724853878,0.006858913952266448,0.026921182252466678
curve_rmse_late,0.018737509438654334,0.00920538285875119,0.016706950233388335,0.00989585126904622,0.031332574811678116
late_minus_early_rmse,-0.0008912959474169032,0.008730668621385329,-0.002412052541503367,-0.00925105832141668,0.007105094310231272
late_minus_early_mae,-0.001070091017544701,0.008532870096250934,-0.0020911556719511275,-0.009433541596372379,0.005945254900492723
