quantity,bias_mean_est,bias_median_est,MAE_median_est,RMSE_median_est,corr_truth_vs_median,avg_post_std
beta,0.04760662916515133,0.041446316209065664,0.049635524904328585,0.07692064386673557,0.816200442029324,0.050055131740133124
gamma,0.0520692154607611,0.05774594234881274,0.07105765262806202,0.11299751210169724,0.44642008258606736,0.05661437624856367
R0,0.06544283334143332,0.04741518498897129,0.16734860701864043,0.2517034438733324,0.9726562040182372,0.28880434239688657
