quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.45,-0.04999999999999999,0.9,0.73,-0.17000000000000004,0.06961407507109438,0.1623962999087081
gamma,0.5,0.42,-0.08000000000000002,0.9,0.83,-0.07000000000000006,0.08313061347725885,0.18162434008710926
R0,0.5,0.65,0.15000000000000002,0.9,1.0,0.09999999999999998,0.3504964565757431,0.9450687292407186
