quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.55,0.050000000000000044,0.9,0.97,0.06999999999999995,0.06611289890700486,0.16392925951811171
gamma,0.5,0.54,0.040000000000000036,0.9,0.84,-0.06000000000000005,0.061582469929747814,0.12415540546181335
R0,0.5,0.46,-0.03999999999999998,0.9,0.88,-0.020000000000000018,0.3111530730181705,0.7625003052006398
