case_id,feature,observed_value,pred_mean,pred_median,pred_std,pred_ci50_low,pred_ci50_high,pred_ci90_low,pred_ci90_high,pred_width50,pred_width90,covered50,covered90,err_mean,err_median,abs_err_median,sq_err_median,true_beta,true_gamma,true_R0,rho0,tau,eta,severity
0,peak_time,23.0,23.86,23.0,7.491436188182888,20.0,28.25,14.0,39.0,8.25,25.0,1.0,1.0,0.8599999999999994,0.0,0.0,0.0,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.9977389342385036,mild
0,peak_height,0.09760671854019165,0.08512750871479512,0.08261684328317642,0.017639473212006644,0.07302154041826725,0.0941486768424511,0.06304001584649085,0.11936078071594239,0.021127136424183846,0.056320764869451534,0.0,1.0,-0.012479209825396534,-0.014989875257015228,0.014989875257015228,0.00022469636022087736,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.9977389342385036,mild
0,cumulative_infected,1.747299479553476,1.5825198567305778,1.5203733292873949,0.4355331393711848,1.2478460473648738,1.884256782126613,0.9191629032757191,2.2852839437226065,0.6364107347617391,1.3661210404468873,1.0,1.0,-0.16477962282289815,-0.2269261502660811,0.2269261502660811,0.05149547767458402,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.9977389342385036,mild
0,early_growth_slope,0.003596071988188972,0.001372954354845292,0.0011819320049350304,0.0025072898944637273,-0.00027787886834370696,0.003319712913556334,-0.002792394166906541,0.005540057996040558,0.003597591781900041,0.008332452162947099,0.0,1.0,-0.0022231176333436797,-0.0024141399832539414,0.0024141399832539414,5.82807185874534e-06,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.9977389342385036,mild
1,peak_time,8.0,21.15,18.0,15.607803668470956,7.0,34.5,1.0,49.0,27.5,48.0,1.0,1.0,13.149999999999999,10.0,10.0,100.0,0.1866456667520135,0.38828976758558686,0.48068654477451056,1.0,25,0.9751659956038624,mild
1,peak_height,0.046858932822942734,0.052330645006150006,0.0496985949575901,0.01614620702664368,0.043311732821166515,0.055690265260636806,0.03212916702032089,0.08433787450194358,0.012378532439470291,0.052208707481622686,1.0,1.0,0.005471712183207272,0.0028396621346473694,0.0028396621346473694,8.063681038950055e-06,0.1866456667520135,0.38828976758558686,0.48068654477451056,1.0,25,0.9751659956038624,mild
1,cumulative_infected,0.41252107406035066,0.5874017690617666,0.45923570618833764,0.39412524667886006,0.3978776859512436,0.567512508467189,0.301189852153766,1.4756878626736574,0.16963482251594542,1.1744980105198914,1.0,1.0,0.1748806950014159,0.04671463212798699,0.04671463212798699,0.002182256854853154,0.1866456667520135,0.38828976758558686,0.48068654477451056,1.0,25,0.9751659956038624,mild
1,early_growth_slope,0.0010769966944021037,-0.0005166738432189083,-0.0006088664397663827,0.002568205575362778,-0.0023078408488626787,0.0011321342525271966,-0.004093382855977064,0.00436971467954988,0.0034399751013898753,0.008463097535526945,1.0,1.0,-0.001593670537621012,-0.0016858631341684863,0.0016858631341684863,2.842134507148392e-06,0.1866456667520135,0.38828976758558686,0.48068654477451056,1.0,25,0.9751659956038624,mild
2,peak_time,18.0,20.49,21.0,2.488336428584001,19.0,22.0,16.0,24.0,3.0,8.0,0.0,1.0,2.4899999999999984,3.0,3.0,9.0,0.4046595524780089,0.19856560441531607,2.037913633982805,1.0,19,0.8513157970326464,mild
2,peak_height,0.18001534044742584,0.17202599063515664,0.17275311052799225,0.014596642658075202,0.1601168029010296,0.1833808682858944,0.15006869956851004,0.1955641031265259,0.023264065384864807,0.045495403558015846,1.0,1.0,-0.007989349812269203,-0.007262229919433594,0.007262229919433594,5.273998340271646e-05,0.4046595524780089,0.19856560441531607,2.037913633982805,1.0,19,0.8513157970326464,mild
2,cumulative_infected,3.5570370657369494,3.469676918373825,3.4848208389012143,0.20386655581578955,3.3507245325890835,3.611382514645811,3.1466821547597648,3.7536586620379238,0.26065798205672763,0.606976507278159,1.0,1.0,-0.08736014736312425,-0.07221622683573514,0.07221622683573514,0.005215183418390353,0.4046595524780089,0.19856560441531607,2.037913633982805,1.0,19,0.8513157970326464,mild
2,early_growth_slope,0.0005373686352478624,0.0037708805551245027,0.0036881956080573475,0.0030376355372157752,0.001777592641744941,0.006073652453605539,-0.0013470195916375997,0.008756805881386664,0.004296059811860598,0.010103825473024264,0.0,1.0,0.0032335119198766402,0.003150826972809485,0.003150826972809485,9.927710612583784e-06,0.4046595524780089,0.19856560441531607,2.037913633982805,1.0,19,0.8513157970326464,mild
3,peak_time,11.0,10.23,10.0,0.8859737552261324,10.0,11.0,9.0,11.049999999999997,1.0,2.049999999999997,1.0,1.0,-0.7699999999999996,-1.0,1.0,1.0,0.7638096098690871,0.19724140342496155,3.872460835332023,1.0,21,0.9320934696066934,mild
