metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6016,0.1601685980396276,0.61,0.337,0.84
pointwise_empirical_90,0.8797999999999999,0.12350095079992236,0.94,0.619,1.0
curve_bias_full,-0.0042607707780281555,0.004246471879433479,-0.004812032961735895,-0.008933892409803777,0.001079441042849791
curve_mae_full,0.017244904114748306,0.00852971567364226,0.014618869507976341,0.008508095161319942,0.0361244408856146
curve_rmse_full,0.023140050094662534,0.011326728921350643,0.01948685569586229,0.01154818885857813,0.04766160426964111
curve_bias_pre,-0.012270401984352261,0.011651790288803183,-0.008290465584295085,-0.03429230887268204,-0.0007013618784387507
curve_mae_pre,0.020178823750234446,0.010708550531107901,0.016261496398224017,0.009098583975956347,0.03999707960159492
curve_rmse_pre,0.02570284625121263,0.013436522556252165,0.020966237424052746,0.011546325949154878,0.05097383934442295
curve_bias_post,0.0012077500490151633,0.010361268445402484,-0.0024689154104726397,-0.008529588005937519,0.021076318838511725
curve_mae_post,0.01540267949733195,0.008392650192289595,0.012606397338898675,0.007116191083616633,0.03125310141048316
curve_rmse_post,0.02088896006065745,0.011092140367608964,0.01720198628146585,0.009729964212005712,0.044351433221150274
post_minus_pre_rmse,-0.004813886190555185,0.008916273481605893,-0.003738475849018213,-0.022143023181903587,0.005729785473970356
post_minus_pre_mae,-0.004776144252902497,0.007741454181187897,-0.0031650630699293705,-0.021239268103429007,0.004659829932058946
