case_id,tau,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_pre,curve_mae_pre,curve_rmse_pre,curve_bias_post,curve_mae_post,curve_rmse_post,post_minus_pre_rmse,post_minus_pre_mae,true_beta,true_gamma,true_R0,rho0,eta,severity
10,30,0.24,0.48,-0.01433714036247693,0.03972116417833604,0.04761809020472477,-0.04422855032607913,0.04573739770178994,0.050822132412080896,0.03049997458292637,0.030696813893155196,0.04236003508611197,-0.008462097325968927,-0.015040583808634742,0.8038212910639586,0.07123776024095313,11.283640703260884,1.0,0.3771779539768966,strong
11,18,0.72,0.98,-0.006403895199036924,0.011244038363656728,0.014192565449493036,-0.00751060914222358,0.013065645943344053,0.016252547264110788,-0.00578136860599443,0.010219384100082607,0.012889955434863301,-0.0033625918292474865,-0.002846261843261446,0.3238719434311089,0.31912832531902524,1.0148642966973915,1.0,0.5573978517100442,strong
12,27,0.52,0.94,-0.0023677028926613274,0.017313662372907858,0.021160980045848155,-0.00766430269167931,0.020355397197245446,0.02444474874098053,0.003850044697490217,0.013742930187815902,0.016491920047705732,-0.007952828693274797,-0.006612467009429544,0.8181691861506857,0.14145428906121948,5.7839828794204555,1.0,0.48556880331764696,strong
13,26,0.48,0.9,-0.002507560662925243,0.015609381115064025,0.019791687643028005,-0.006560377691550037,0.018047697927193858,0.021666665303061515,0.0018829911180849497,0.012967871235256704,0.017535667187112573,-0.004130998115948942,-0.005079826691937154,0.4084812812293266,0.2504221632829084,1.631170643501928,1.0,0.37550793101191476,strong
14,11,0.76,0.96,-0.004817840368923498,0.011631328733201371,0.01599825532614504,-0.007255952635949308,0.016126501543278045,0.02221582944986902,-0.004130167678223911,0.010363459479077183,0.013745148155103505,-0.008470681294765515,-0.005763042064200863,0.5768376673996122,0.4730841391115519,1.2193130559881136,1.0,0.3295514107732995,strong
15,27,0.28,0.72,-0.008801911300979555,0.03037781408522278,0.03650560326459599,-0.033921262352830835,0.03513132963605501,0.03956382785987673,0.020686022542498034,0.024797600177724078,0.032550929100880886,-0.007012898758995842,-0.010333729458330932,0.9747686208670832,0.09186883266130566,10.61043873781197,1.0,0.3184882570263466,strong
16,11,0.58,0.9,-0.004806225554548291,0.015350727461282077,0.023079311805586814,-0.013125531290742483,0.026386441916904667,0.03446745482477642,-0.0024597547058781343,0.012238090050721859,0.018649721114225335,-0.015817733710551087,-0.014148351866182808,0.8026004559493382,0.2488160738059903,3.225677680997213,1.0,0.5905997653014763,strong
17,16,0.8,0.96,-0.006613908418366918,0.009907317605247955,0.014701683422195227,-0.007671664519875776,0.01301217053696746,0.016381751152150122,-0.006116140841186279,0.008446210343262303,0.013840675815855819,-0.0025410753362943034,-0.004565960193705157,0.48599580521438634,0.4694343469120305,1.0352796049358088,1.0,0.4577229970005563,strong
18,21,0.78,0.98,-0.004289486926463724,0.009725789370531857,0.014342156414537,-0.0032650793326042945,0.010948974949618181,0.01591848796321967,-0.0050312993220171034,0.00884003429602107,0.013082640631918316,-0.0028358473313013534,-0.0021089406535971106,0.13987538898668073,0.4501426760732192,0.3107356765345415,1.0,0.3928076158758678,strong
19,12,0.78,0.98,-0.0032651905302191154,0.008441663662088103,0.011896080189758238,-0.0007621842038740093,0.007716071292331132,0.010162995834561029,-0.004055613580643886,0.008670798094642936,0.012393120313577059,0.00223012447901603,0.0009547268023118042,0.3428440512899446,0.4908563002374264,0.6984611405091704,1.0,0.44448183223718163,strong
