metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6320000000000001,0.10331866953628215,0.62,0.48,0.8209999999999998
pointwise_empirical_90,0.9355999999999999,0.03591010099589463,0.94,0.879,0.9809999999999999
curve_bias_full,-0.0033725491252011132,0.003455970099735756,-0.0036834090732736514,-0.007679974953134661,0.004059510133927688
curve_mae_full,0.014062850280753629,0.003212538086435442,0.01392723666060192,0.008331735746377491,0.019501044042168358
curve_rmse_full,0.01851343106363544,0.0033329023058534277,0.018592775678965157,0.012399626220325062,0.024413876030135107
curve_bias_first,-0.003994166967280913,0.004934338606358933,-0.0036058446080016243,-0.01216575854524438,0.0029525789157892374
curve_mae_first,0.015397373585515302,0.003705946994982652,0.015683163423091173,0.008925399441986056,0.02037377633991978
curve_rmse_first,0.019309659585320094,0.004093179425555137,0.019405815660526217,0.012268167479388244,0.025314716459708078
curve_bias_second,-0.0031461711824985095,0.00516053849237924,-0.0037491735461766696,-0.01034884500124477,0.006832043554859011
curve_mae_second,0.013098140923029213,0.0040366178166103,0.012664279254319186,0.0077478445900258965,0.021203453084511784
curve_rmse_second,0.017548023182375472,0.004357068731396272,0.016889489886009974,0.011002379546884393,0.025434446756494578
second_minus_first_rmse,-0.001761636402944624,0.005255091460636536,-0.0013271878766518176,-0.010828695606643457,0.006220790746761988
second_minus_first_mae,-0.002299232662486086,0.004445388857407311,-0.0019158019688285607,-0.009809308065914351,0.00473646000560534
