metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6236,0.10407378889688573,0.62,0.479,0.8009999999999999
pointwise_empirical_90,0.9359999999999999,0.03651483716701106,0.94,0.86,1.0
curve_bias_full,-0.00445317668444136,0.0037090944397954275,-0.004483487018296728,-0.010482280209340389,-0.0005610039638122554
curve_mae_full,0.014200746841661616,0.0033374656682995624,0.014222908543888479,0.008423483120677701,0.01896267722826451
curve_rmse_full,0.018511534915333673,0.003678286940005892,0.018331427214603832,0.01199294744116679,0.02392399986487205
curve_bias_first,-0.005387630193369511,0.004996186878250249,-0.004752219458301128,-0.014825315904248543,0.0014223725305421745
curve_mae_first,0.015015220256919544,0.003862949222020116,0.014627232117080977,0.008641624968560578,0.02135254778485331
curve_rmse_first,0.01891210651110432,0.004485243726181144,0.01856679814703719,0.011698993748735847,0.026253702111149614
curve_bias_second,-0.003997676953753097,0.006125562377376317,-0.004586144915463039,-0.012975283720328109,0.006671992940939075
curve_mae_second,0.01362527311317555,0.004586397218254511,0.01346894399728472,0.007167420805097078,0.02145772148821769
curve_rmse_second,0.017799480604024517,0.004999176366464407,0.018098168550050794,0.010137470099908074,0.026662309685673676
second_minus_first_rmse,-0.0011126259070798018,0.006008002283736733,-0.0012768489493392883,-0.011181791237246117,0.007687613614704249
second_minus_first_mae,-0.001389947143743992,0.005208082729463463,-0.0019093690907538985,-0.010571237122130388,0.006693869797422408
