feature,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,bias_mean_pred,bias_median_pred,MAE_median_pred,RMSE_median_pred,avg_pred_std,avg_width50,avg_width90
peak_time,0.5,0.61,0.10999999999999999,0.9,0.95,0.04999999999999993,-1.8661,-1.93,6.91,10.15135458941318,9.63320948681461,15.3825,29.400000000000006
peak_height,0.5,0.57,0.06999999999999995,0.9,0.92,0.020000000000000018,0.007667256193608045,0.0037450403347611427,0.018296438530087472,0.029216123756160062,0.03290875522228712,0.03467996488325298,0.09733097668923435
cumulative_infected,0.5,0.69,0.18999999999999995,0.9,0.97,0.06999999999999995,0.40460434382449556,0.2954741933935486,0.4350776135073272,0.8135070237704063,0.8278769199615382,0.8319744415860109,2.478269300084166
early_growth_slope,0.5,0.47,-0.030000000000000027,0.9,0.86,-0.040000000000000036,0.0008353068965259076,0.0008397778190761157,0.0021467965701930047,0.0027586842428729565,0.0024588808949211204,0.003277690037119185,0.007888471589579171
