case_id,feature,observed_value,pred_mean,pred_median,pred_std,pred_ci50_low,pred_ci50_high,pred_ci90_low,pred_ci90_high,pred_width50,pred_width90,covered50,covered90,err_mean,err_median,abs_err_median,sq_err_median,true_beta,true_gamma,true_R0,beta_ref,gamma_ref,R0_ref,beta_seir,gamma_seir,sigma_seir,sigma,severity,reference_mode,reference_window_days,projection_loss
0,peak_time,46.0,25.79,26.5,16.027309395673576,11.0,41.0,1.0,48.0,30.0,47.0,0.0,1.0,-20.21,-19.5,19.5,380.25,0.24285545359207944,0.3296621264093566,0.7366798735336515,0.24285545359207944,0.3296621264093566,0.7366798735336515,0.26104133230789256,0.33796092457181953,0.27009026017152277,0.27009026017152277,medium,early_phase,12,4.6337318730297504e-06
0,peak_height,0.06404239684343338,0.06299326375126839,0.053259631618857384,0.0320354481554678,0.04300007130950689,0.06577006913721561,0.03457606621086597,0.14050611108541486,0.02276999782770872,0.10593004487454888,1.0,1.0,-0.0010491330921649916,-0.010782765224575996,0.010782765224575996,0.00011626802588832544,0.24285545359207944,0.3296621264093566,0.7366798735336515,0.24285545359207944,0.3296621264093566,0.7366798735336515,0.26104133230789256,0.33796092457181953,0.27009026017152277,0.27009026017152277,medium,early_phase,12,4.6337318730297504e-06
0,cumulative_infected,0.624589653678413,0.867817231177778,0.5215270715780207,0.7603126738798296,0.4104633402748732,0.9220168637839379,0.31654981515575853,2.5141730004106644,0.5115535235090647,2.1976231852549057,1.0,1.0,0.24322757749936497,-0.10306258210039232,0.10306258210039232,0.010621895829200107,0.24285545359207944,0.3296621264093566,0.7366798735336515,0.24285545359207944,0.3296621264093566,0.7366798735336515,0.26104133230789256,0.33796092457181953,0.27009026017152277,0.27009026017152277,medium,early_phase,12,4.6337318730297504e-06
0,early_growth_slope,-0.0026094717073387313,-0.0007149327223179984,-0.0006534807949459948,0.0023291856863403098,-0.0023813744313277586,0.0008485284647793475,-0.004431205392791609,0.0032497191962431215,0.003229902896107106,0.00768092458903473,0.0,1.0,0.0018945389850207328,0.0019559909123927363,0.0019559909123927363,3.825900449362969e-06,0.24285545359207944,0.3296621264093566,0.7366798735336515,0.24285545359207944,0.3296621264093566,0.7366798735336515,0.26104133230789256,0.33796092457181953,0.27009026017152277,0.27009026017152277,medium,early_phase,12,4.6337318730297504e-06
1,peak_time,33.0,35.36,35.0,3.551980525927142,33.75,37.0,30.0,41.05,3.25,11.049999999999997,0.0,1.0,2.3599999999999994,2.0,2.0,4.0,0.1829980529831707,0.05,3.659961059663414,0.1829980529831707,0.05,3.659961059663414,0.38426463760700225,0.09375293050568131,0.27435448128866363,0.27435448128866363,medium,early_phase,12,1.1308563401388376e-05
1,peak_height,0.3261184096336365,0.3780490542948246,0.3885202407836914,0.05110389218508915,0.34686682373285294,0.41328123211860657,0.2825003802776337,0.44284641444683076,0.06641440838575363,0.16034603416919707,0.0,1.0,0.05193064466118813,0.06240183115005493,0.06240183115005493,0.003893988530879966,0.1829980529831707,0.05,3.659961059663414,0.1829980529831707,0.05,3.659961059663414,0.38426463760700225,0.09375293050568131,0.27435448128866363,0.27435448128866363,medium,early_phase,12,1.1308563401388376e-05
1,cumulative_infected,8.04350513475947,9.85917133349867,10.146952760158456,1.4552143546950012,9.050232761539519,10.794272240658756,6.9380556854302995,11.669941491214558,1.7440394791192375,4.731885805784259,0.0,1.0,1.8156661987391995,2.103447625398985,2.103447625398985,4.424491912796629,0.1829980529831707,0.05,3.659961059663414,0.1829980529831707,0.05,3.659961059663414,0.38426463760700225,0.09375293050568131,0.27435448128866363,0.27435448128866363,medium,early_phase,12,1.1308563401388376e-05
1,early_growth_slope,0.004415745220501863,0.0027251964942124254,0.002781832887844108,0.0027581100070961594,0.0006250751491842546,0.004642736089105408,-0.0016198373775945833,0.007363641922711393,0.004017660939921153,0.008983479300305977,1.0,1.0,-0.0016905487262894375,-0.001633912332657755,0.001633912332657755,2.6696695108111062e-06,0.1829980529831707,0.05,3.659961059663414,0.1829980529831707,0.05,3.659961059663414,0.38426463760700225,0.09375293050568131,0.27435448128866363,0.27435448128866363,medium,early_phase,12,1.1308563401388376e-05
2,peak_time,4.0,20.4,19.0,14.137849478573035,9.0,31.0,0.9500000000000002,45.0,22.0,44.05,0.0,1.0,16.4,15.0,15.0,225.0,0.39127577243233697,0.3796604631873194,1.0305939395098054,0.39127577243233697,0.3796604631873194,1.0305939395098054,0.13019504140257454,0.13768807731046862,0.3246057007403095,0.3246057007403095,medium,early_phase,12,8.24437110963818e-08
2,peak_height,0.06489454209804535,0.05321854062378407,0.04841702617704868,0.02241664368053973,0.04199918173253536,0.055231223814189434,0.035431433096528055,0.08026256971061228,0.013232042081654072,0.04483113661408423,0.0,1.0,-0.011676001474261281,-0.016477515920996666,0.016477515920996666,0.0002715085309266986,0.39127577243233697,0.3796604631873194,1.0305939395098054,0.39127577243233697,0.3796604631873194,1.0305939395098054,0.13019504140257454,0.13768807731046862,0.3246057007403095,0.3246057007403095,medium,early_phase,12,8.24437110963818e-08
