case_id,true_beta,true_gamma,true_R0,rho0,tau,eta,severity,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.9977389342385036,mild,0.4499423004337577,0.44868629500927953,0.046578472704006765,0.41749740540477887,0.4824153622407069,0.3752713240371714,0.5278397639654311,0.06491795683592805,0.1525684399282597,0.32285204662161815,0.32175343104212073,0.03790676816482469,0.29598924007950567,0.34771666755911496,0.26330679629383735,0.38708945155406593,0.05172742747960929,0.12378265526022858,1.400145914689296,1.3926711551754738,0.11051420099751075,1.3267606941403134,1.467396482422726,1.2293683409240053,1.5917850371492845,0.14063578828241252,0.3624166962252793,1.0,1.0,0.001865216726698038,0.0006092113022198586,0.0006092113022198586,3.7113841075241596e-07,1.0,1.0,0.006201520847597286,0.0051029052680998666,0.0051029052680998666,2.603964217520137e-05,1.0,1.0,-0.014906476623744114,-0.022381236137566374,0.022381236137566374,0.000500919731045507
1,0.8656992231773614,0.3773758848611094,2.2939971998899082,1.0,25,0.9336240833783715,mild,0.8622010647878944,0.86612410923087,0.0398925760418879,0.8388597110510632,0.8908589617604867,0.7901034429527342,0.9193704969747895,0.05199925070942357,0.1292670540220553,0.39096000594679936,0.3899528313057269,0.020105721693732287,0.3772019826970724,0.40394143912932917,0.3599323722659225,0.42540679235281187,0.02673945643225678,0.06547442008688936,2.207315067662957,2.2044135830986713,0.08132764864854947,2.151938311370086,2.2612959005007442,2.0776424404924447,2.3462040893354232,0.10935758913065818,0.2685616488429785,1.0,1.0,-0.0034981583894669876,0.00042488605350865516,0.00042488605350865516,1.8052815846615977e-07,1.0,1.0,0.01358412108568996,0.012576946444617487,0.012576946444617487,0.00015817958187077646,0.0,1.0,-0.08668213222695131,-0.08958361679123694,0.08958361679123694,0.00802522439739919
2,0.13040313045335356,0.31647758845704255,0.41204538712874444,1.0,13,0.8626645941960045,mild,0.2068147287496373,0.1857904508964329,0.08745252587631998,0.13830835119780038,0.25512401827127434,0.10391152882546813,0.3826396631827623,0.11681566707347396,0.2787281343572942,0.3206320616996469,0.3344544166753688,0.10509133518374981,0.2481917654244336,0.4066141192270851,0.12360577490016542,0.46795150074460834,0.15842235380265152,0.3443457258444429,0.6807130931451353,0.6585179797467937,0.24274606074913202,0.5097799223871899,0.8262352838551448,0.33546540700556143,1.068957171934263,0.31645536146795483,0.7334917649287016,0.0,1.0,0.07641159829628374,0.05538732044307934,0.05538732044307934,0.0030677552658643545,1.0,1.0,0.004154473242604373,0.017976828218326246,0.017976828218326246,0.0003231663527912108,0.0,1.0,0.26866770601639084,0.24647259261804927,0.24647259261804927,0.06074873891186287
3,0.5228990509942999,0.18446438505338342,2.8346883917075623,1.0,24,0.870251144481745,mild,0.5294345760021149,0.5293009502259409,0.012348626061677791,0.5210720011040479,0.5377811860914719,0.5094377124186927,0.5497200807428797,0.01670918498742391,0.04028236832418697,0.19820719482309068,0.19802888884158543,0.006475991047794099,0.1935992424266592,0.20264285951846642,0.18777892791747652,0.20888974181147218,0.009043617091807205,0.02111081389399566,2.6730787034551806,2.670656233190769,0.08242011396118189,2.6157579617001714,2.724675757343084,2.542392807638735,2.8147466722269257,0.10891779564291282,0.27235386458819066,1.0,1.0,0.006535525007814957,0.006401899231641028,0.006401899231641028,4.098431377208599e-05,0.0,0.0,0.013742809769707265,0.01356450378820201,0.01356450378820201,0.00018399576302014666,0.0,0.0,-0.16160968825238164,-0.1640321585167932,0.1640321585167932,0.026906549027678372
4,0.2585507973881067,0.20910862294995536,1.2364425423526606,1.0,21,0.9112068317674721,mild,0.3002026298231502,0.2964243668821529,0.07826267967582616,0.24400223658017656,0.35424092697162407,0.17919823439014101,0.43375709618595215,0.11023869039144751,0.2545588617958111,0.3007779057453598,0.30372711962284177,0.07521859194920948,0.24936077607080148,0.35452330717115665,0.17265668379909313,0.4192088508734237,0.10516253110035517,0.24655216707433056,1.025847043791841,1.0304021341678622,0.22636650561838367,0.899434025910345,1.1558672358981008,0.6329185261855995,1.4017718581875982,0.25643320998775576,0.7688533320019987,1.0,1.0,0.0416518324350435,0.03787356949404619,0.03787356949404619,0.001434407266220346,0.0,1.0,0.09166928279540443,0.09461849667288641,0.09461849667288641,0.008952659912637016,0.0,1.0,-0.2105954985608196,-0.2060404081847984,0.2060404081847984,0.042452649804958345
5,0.25998328631298845,0.3833953303326222,0.6781075974176181,1.0,17,0.9982257164703163,mild,0.2631650678805288,0.24831212925985074,0.10978871069221478,0.17432349888290322,0.33731494211387825,0.11313298297394843,0.466382026261446,0.16299144323097503,0.35324904328749757,0.3488130674565716,0.3656590986958836,0.10232815861759005,0.28372829797300164,0.43177704744274886,0.15182422436788137,0.48178798894094615,0.14804874946974722,0.32996376457306476,0.7751110478635872,0.7715819179554306,0.24925071717182715,0.6011289408230689,0.944792261335991,0.36521724420731916,1.1897023656221906,0.34366332051292214,0.8244851214148714,1.0,1.0,0.0031817815675403427,-0.011671157053137704,0.011671157053137704,0.00013621590695900597,1.0,1.0,-0.034582262876050596,-0.017736231636738597,0.017736231636738597,0.0003145739126720471,1.0,1.0,0.09700345044596914,0.09347432053781257,0.09347432053781257,0.00873744860000573
6,0.5043321096504052,0.40230191813470506,1.2536159707832584,1.0,17,0.9952341022092621,mild,0.4220384318080955,0.42305939402390064,0.09356749172909813,0.3560801497943445,0.49273642647486593,0.2633217497425235,0.5722855499432771,0.13665627668052144,0.3089638002007536,0.36983882289061487,0.37740692707595247,0.06514180114822099,0.3291507264936957,0.4181267803871094,0.2540447652754242,0.46297524637585835,0.08897605389341368,0.20893048110043416,1.1465088945754542,1.1627667570447127,0.17891660547963234,1.0533681145818037,1.254892881096018,0.8437111833396822,1.4091700504353935,0.20152476651421436,0.5654588670957112,0.0,1.0,-0.08229367784230968,-0.08127271562650457,0.08127271562650457,0.00660525430530668,1.0,1.0,-0.03246309524409019,-0.02489499105875259,0.02489499105875259,0.0006197605798153715,1.0,1.0,-0.10710707620780413,-0.09084921373854571,0.09084921373854571,0.008253579636911963
7,0.1782680912766364,0.4099814796292761,0.4348198641505331,1.0,11,0.8543265468641036,mild,0.2556674422904745,0.2388258977347386,0.11155738662043546,0.16340903512470145,0.32541933971571946,0.11043503824766329,0.46683495127743385,0.162010304591018,0.3563999130297706,0.34549677963907627,0.36601819926494816,0.10791204138714872,0.2704838819975025,0.4345909321330597,0.13783078875176782,0.4850647615264781,0.1641070501355572,0.34723397277471024,0.7647801069120127,0.7541772903698356,0.25940260444464347,0.5817574924466353,0.9225170274084369,0.36269929706330256,1.1858763039939781,0.34075953496180156,0.8231770069306756,1.0,1.0,0.0773993510138381,0.060557806458102215,0.060557806458102215,0.0036672479230169665,1.0,1.0,-0.06448469999019985,-0.04396328036432795,0.04396328036432795,0.0019327700203925035,0.0,1.0,0.3299602427614796,0.3193574262193025,0.3193574262193025,0.10198916568141725
8,0.8610039871024447,0.1770050362455169,4.864290900221501,1.0,22,0.9456245819504623,mild,0.8656963352050892,0.8697784993039389,0.03787420952960869,0.8421440084533792,0.8930363891866653,0.7947922128255095,0.9203953396321608,0.05089238073328606,0.1256031268066513,0.1832955349274962,0.18290723548334997,0.00858404111614089,0.177638963807271,0.18871894316085225,0.1696677868733115,0.19795109386016516,0.011079979353581237,0.028283306986853662,4.7322042270058775,4.73309218587875,0.2873828086733131,4.533558035578152,4.912476739240937,4.270818613706369,5.225658528447536,0.3789187036627846,0.954839914741167,1.0,1.0,0.004692348102644406,0.008774512201494167,0.008774512201494167,7.699206437417001e-05,0.0,1.0,0.006290498681979312,0.005902199237833083,0.005902199237833083,3.483595584307743e-05,1.0,1.0,-0.13208667321562384,-0.13119871434275154,0.13119871434275154,0.01721310264519092
9,0.5472010893876081,0.102793267143065,5.323316444704767,1.0,11,0.9658607668546105,mild,0.5369555818030898,0.5367409352687016,0.015429832362976957,0.5268779183669915,0.5474307207823136,0.511688516778466,0.5629457687540487,0.02055280241532209,0.05125725197558262,0.10679981251867847,0.10658022805750447,0.004426151783645922,0.10386851976869556,0.10954616572121195,0.0998366882286441,0.11451976111349477,0.005677645952516394,0.01468307288485067,5.036026556369729,5.036224696964669,0.24852158931100166,4.864742426607644,5.200033041828103,4.631627799374662,5.4512769445350635,0.3352906152204591,0.8196491451604011,1.0,1.0,-0.010245507584518365,-0.01046015411890655,0.01046015411890655,0.00010941482419127768,0.0,1.0,0.004006545375613471,0.0037869609144394745,0.0037869609144394745,1.4341072967492261e-05,0.0,1.0,-0.28728988833503877,-0.2870917477400985,0.2870917477400985,0.08242167162046435
