quantity,nominal_50,empirical_50,diff_50,nominal_90,empirical_90,diff_90,avg_width50,avg_width90
beta,0.5,0.63,0.13,0.9,0.96,0.05999999999999994,0.07193872030497342,0.1683423286368561
gamma,0.5,0.42,-0.08000000000000002,0.9,0.83,-0.07000000000000006,0.05083182498151164,0.1165807637178098
R0,0.5,0.37,-0.13,0.9,0.88,-0.020000000000000018,0.30558466170508314,0.7529715448123229
