severity,beta_bias_median,beta_MAE,beta_empirical_90,gamma_empirical_90,R0_empirical_90,peak_time_MAE,early_growth_slope_empirical_50
mild,0.02979555333409445,0.054774322954422264,0.78,0.96,0.82,5.195,0.45
medium,0.10492900108724253,0.11773352310476454,0.31,0.78,0.36,5.365,0.39
strong,0.20926066772695687,0.21334623288501386,0.23,0.73,0.19,5.235,0.43
