severity,beta_bias_median,beta_bias_ci_low,beta_bias_ci_high,beta_MAE,beta_empirical_90,beta_empirical_90_ci_low,beta_empirical_90_ci_high,gamma_empirical_90,R0_empirical_90,R0_empirical_90_ci_low,R0_empirical_90_ci_high,peak_time_MAE,early_growth_slope_empirical_50
mild,0.028321173604365646,0.017212953344173443,0.04508506883568403,0.054774322954422264,0.78,0.6892964648501421,0.8499871761539459,0.96,0.82,0.7333264161369926,0.8829977450105364,5.195,0.45
medium,0.10443342984908521,0.0929980871630065,0.12135249255374125,0.11773352310476454,0.31,0.22779697212376038,0.40626055719489407,0.78,0.36,0.2727122040140433,0.4576459754839126,5.365,0.39
strong,0.20717908300553783,0.1782834538651122,0.21790846077935508,0.21334623288501386,0.23,0.15843265880303448,0.3215438302287378,0.73,0.19,0.12514751509768735,0.27778845379064376,5.235,0.43
