metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6292,0.1243786983613376,0.64,0.398,0.8209999999999998
pointwise_empirical_90,0.9132000000000002,0.07158917586486173,0.92,0.837,0.98
curve_bias_full,-0.0023002014654583945,0.004880114070179049,-0.0037701518101675904,-0.007370207940267392,0.007335219194879755
curve_mae_full,0.014847142927479488,0.005980466985982136,0.013775370809453307,0.00812028167369499,0.027130355180473992
curve_rmse_full,0.019748809017521466,0.007179256339787107,0.018471052588016172,0.012437930057591385,0.035180800680875764
curve_bias_early,-0.0031095169739463013,0.005406685494926054,-0.003352292780764401,-0.010100126492325216,0.005752810388104988
curve_mae_early,0.01650316795901308,0.005519813750754843,0.015909080293495206,0.008552793064372963,0.024509608219843347
curve_rmse_early,0.02113138073147041,0.006909935236758798,0.01983857758344463,0.012340488453206346,0.029570722046495596
curve_bias_late,-0.0014908859569704872,0.007366193520187842,-0.0029091650778718756,-0.009816813602432375,0.0127170373648405
curve_mae_late,0.013191117895945901,0.0077521803801174315,0.01116986687586177,0.006560571478388738,0.02573948754929005
curve_rmse_late,0.01767414170166465,0.008756138080195451,0.015693661037074425,0.009487116317288989,0.0341335287674412
late_minus_early_rmse,-0.0034572390298057503,0.0070279801073506,-0.004769466152588886,-0.013146749176948675,0.007411364053469596
late_minus_early_mae,-0.0033120500630671817,0.006169712108041248,-0.0036409627516695757,-0.011138243298832094,0.0046880376398912614
