case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,rho0,tau,eta,severity
0,0.64,0.94,-0.0051224340307817326,0.013532871973438887,0.017804768573691915,-0.00775250412785681,0.01683380221686093,0.021730463268936948,-0.0024923639337066563,0.010231941730016842,0.012720319730369859,-0.009010143538567088,-0.006601860486844089,fraction,25,0.4566771936963121,0.4127357396477173,1.1064638940308396,1.0,10,0.6933718986674462,medium
1,0.54,0.94,-0.011481154642533511,0.015352616233285517,0.02026354959468012,-0.009719608444720506,0.013123393543064594,0.017026822544252872,-0.013242700840346516,0.01758183892350644,0.023050166992858077,0.006023344448605205,0.0044584453804418465,fraction,25,0.18295573780841445,0.14518482813557965,1.2601574156051814,1.0,22,0.6314019638522971,medium
2,0.6,0.92,-0.004075379661808256,0.013369362092635128,0.017756410467096213,0.001629135562106967,0.01393487953580916,0.01797662668294738,-0.00977989488572348,0.012803844649461098,0.017533428599505352,-0.0004431980834420299,-0.0011310348863480622,fraction,25,0.8345342860455536,0.4220421393580388,1.9773719451686735,1.0,21,0.6824505498275166,medium
3,0.58,1.0,-0.002008757212825003,0.012330583767834469,0.015920901508480533,0.001307446751743555,0.01615424709394574,0.019271775319158104,-0.005324961177393561,0.008506920441723196,0.011642546359511051,-0.007629228959647053,-0.0076473266522225445,fraction,25,0.8501116962209567,0.4583619801192538,1.854673234459324,1.0,23,0.7039730404531669,medium
4,0.74,0.96,-0.005865302701713517,0.010236486196808982,0.014367700568856296,-0.0065178400091826915,0.012902509029954672,0.01686234794451025,-0.005212765394244343,0.007570463363663293,0.01133679236252027,-0.00552555558198998,-0.0053320456662913785,fraction,25,0.8313285427499186,0.2983111229708836,2.7867835918108215,1.0,23,0.774992830707896,medium
5,0.62,0.92,-0.009975354378693737,0.014283931564423256,0.019941308750880137,-0.00613270248984918,0.01179778745630756,0.017475073335355962,-0.013818006267538294,0.01677007567253895,0.022134439259212973,0.00465936592385701,0.0049722882162313905,fraction,25,0.3044680757056297,0.261330790078016,1.1650677503968658,1.0,24,0.6771298081504517,medium
6,0.72,0.98,0.0024445083900354802,0.0184363012178801,0.021610184407867203,-0.006147102979011834,0.015068069132976234,0.018272698489247303,0.011036119759082794,0.021804533302783966,0.024497114732251895,0.006224416243004592,0.006736464169807731,fraction,25,0.1568127666068461,0.0640246415355364,2.4492564557321,1.0,10,0.8302867135017789,medium
7,0.54,0.98,-0.004380996845284244,0.014430695405317238,0.017155665529769572,-0.007697794521227479,0.0161118068639189,0.018613528680131615,-0.0010641991693410091,0.012749583946715574,0.015561820896430007,-0.003051707783701608,-0.003362222917203327,fraction,25,0.6669035811787141,0.16329833899605328,4.08395814237175,1.0,26,0.8407844816296844,medium
8,0.78,0.98,-0.003684932445758022,0.008318364199367352,0.011280164861671197,-0.0044657024007756264,0.00910778112593107,0.011488585311450292,-0.0029041624907404184,0.007528947272803634,0.011067820298256188,-0.0004207650131941038,-0.0015788338531274359,fraction,25,0.3086158676379387,0.37311377693075043,0.8271360821265453,1.0,24,0.614429401424872,medium
9,0.74,0.98,-0.006613811501592863,0.010726357355015353,0.014985377135460992,-0.0076273472886532545,0.012652786178514362,0.016934995413336082,-0.005600275714532472,0.008799928531516343,0.012740839302584427,-0.004194156110751655,-0.003852857646998019,fraction,25,0.36862410906447185,0.35114585092795686,1.0497749242667285,1.0,14,0.7972879720775432,medium
10,0.58,0.9,-0.0045488069078601255,0.01658784884844863,0.022593567170534255,-0.001798055674880743,0.021625267695635556,0.02797331958531062,-0.007299558140839508,0.011550430001261703,0.015441241736238821,-0.012532077849071798,-0.010074837694373853,fraction,25,0.9912574734229149,0.20883918757345377,4.746510867718569,1.0,11,0.796118286705262,medium
11,0.68,0.94,-0.0025075234149699098,0.013702382405463141,0.018038861667001253,0.002067051287740469,0.014301221389323472,0.01699902780182347,-0.0070820981176802885,0.013103543421602809,0.01902193771084448,0.002022909909021011,-0.0011976779677206634,fraction,25,0.6895324752588008,0.4188623152534029,1.646203179776744,1.0,20,0.6330278300756423,medium
12,0.52,0.88,0.00787829302251339,0.022457592617720366,0.02769311037252004,0.003004135936498642,0.024409062527120114,0.030930648953967695,0.012752450108528136,0.02050612270832062,0.024023148825571786,-0.006907500128395909,-0.0039029398187994946,fraction,25,0.2755621843348661,0.09539008786792019,2.8887926460075946,1.0,13,0.6950535865891388,medium
13,0.46,0.84,-0.006865088287740946,0.025359500031918288,0.030610024807030903,-0.025468743331730367,0.027533317916095257,0.03285962947186666,0.011738566756248474,0.02318568214774132,0.0281814121070206,-0.004678217364846058,-0.0043476357683539385,fraction,25,0.9571471089801245,0.07397418636299363,12.938933917885542,1.0,29,0.7064039952256542,medium
14,0.38,0.98,0.00809514985885471,0.02326153216417879,0.027705307104823756,0.001872590808197856,0.02096510256640613,0.02610922346491392,0.014317708909511567,0.025557961761951447,0.02921432069387176,0.00310509722895784,0.004592859195545317,fraction,25,0.26248339046114433,0.09578855597272443,2.7402374719573586,1.0,19,0.6919078222080145,medium
