case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,rho0,tau,eta,severity
0,0.7,0.96,-0.005442817531670699,0.01265560639402338,0.01734163193637206,-0.007458201684057713,0.01609122918918729,0.02129211050900447,-0.003427433379283684,0.009219983598859472,0.012170062715760344,-0.009122047793244126,-0.006871245590327818,fraction,25,0.4566771936963121,0.4127357396477173,1.1064638940308396,1.0,10,0.4120462784009355,strong
1,0.64,0.96,-0.009421007525088499,0.013538886025635292,0.018013216783504447,-0.009807365408923942,0.013185687043878715,0.01724057888449901,-0.009034649641253055,0.01389208500739187,0.018754050162736034,0.0015134712782370226,0.0007063979635131556,fraction,25,0.18295573780841445,0.14518482813557965,1.2601574156051814,1.0,22,0.33768235662275653,strong
2,0.58,0.92,-0.0062823205141467045,0.014008988670830148,0.017963603143496328,-0.0031765865813940765,0.015503601981326937,0.018695479537260893,-0.009388054446899332,0.012514375360333362,0.017200613961888725,-0.001494865575372168,-0.0029892266209935753,fraction,25,0.8345342860455536,0.4220421393580388,1.9773719451686735,1.0,21,0.39894065979301996,strong
3,0.54,0.98,-0.0031676117722508933,0.012363498658696698,0.015891313824073276,-0.0010413916176185013,0.01641737761441618,0.01935258857122155,-0.005293831926883286,0.008309619702977215,0.01142563021033806,-0.00792695836088349,-0.008107757911438966,fraction,25,0.8501116962209567,0.4583619801192538,1.854673234459324,1.0,23,0.4247676485438003,strong
4,0.76,0.96,-0.005097794592111313,0.010401779876810907,0.014586341987206168,-0.005668261107057333,0.013160572852939367,0.01729738123425224,-0.004527328077165294,0.0076429869006824445,0.01123936597733189,-0.0060580152569203495,-0.005517585952256923,fraction,25,0.8313285427499186,0.2983111229708836,2.7867835918108215,1.0,23,0.5099913968494753,strong
5,0.76,0.96,-0.005441064579645172,0.012251366012496873,0.016773127881798508,-0.003549497313797474,0.011134344916790724,0.016255093335358795,-0.007332631845492869,0.013368387108203024,0.017275635401834192,0.0010205420664753974,0.0022340421914122995,fraction,25,0.3044680757056297,0.261330790078016,1.1650677503968658,1.0,24,0.392555769780542,strong
6,0.44,0.98,0.024878978149499745,0.03243542233249173,0.0406350700664438,4.038292448967695e-05,0.01515327129047364,0.017497025883157838,0.04971757337450981,0.04971757337450981,0.054738212647598365,0.03724118676444053,0.03456430208403617,fraction,25,0.1568127666068461,0.0640246415355364,2.4492564557321,1.0,10,0.5763440562021347,strong
7,0.52,0.96,-0.003155571549505112,0.014928988270767149,0.017758629419298927,-0.009031836139038206,0.016164070637896658,0.019023318995752662,0.0027206930400279815,0.013693905903637641,0.016396681740212395,-0.002626637255540267,-0.002470164734259017,fraction,25,0.6669035811787141,0.16329833899605328,4.08395814237175,1.0,26,0.5889413779556214,strong
8,0.82,1.0,-0.0031135210423963145,0.008352989506092853,0.011122511114486587,-0.004033443942898884,0.00899134718463756,0.01132814094975358,-0.0021935981418937443,0.007714631827548146,0.010913007358481497,-0.0004151335912720832,-0.0012767153570894148,fraction,25,0.3086158676379387,0.37311377693075043,0.8271360821265453,1.0,24,0.31731528170984646,strong
9,0.74,0.98,-0.005883970724025858,0.010425858180315117,0.014515586339000169,-0.007918173115467653,0.012479049287503586,0.016957476451116234,-0.0038497683325840627,0.00837266707312665,0.011569290641166166,-0.005388185809950067,-0.004106382214376937,fraction,25,0.36862410906447185,0.35114585092795686,1.0497749242667285,1.0,14,0.5367455664930518,strong
10,0.5,0.8,-0.007357093683312996,0.024861358299458517,0.0360169463465282,-0.006930620614439249,0.03825013006106019,0.04846564854261049,-0.007783566752186744,0.011472586537856842,0.015669133977394546,-0.03279651456521594,-0.02677754352320335,fraction,25,0.9912574734229149,0.20883918757345377,4.746510867718569,1.0,11,0.5353419440463143,strong
11,0.58,0.94,-0.003947316702397075,0.0144003970574704,0.01869864036491449,-0.0015341406874358654,0.015320655163377524,0.018584572816726895,-0.006360492717358284,0.013480138951563277,0.01881201627185653,0.00022744345512963615,-0.001840516211814247,fraction,25,0.6895324752588008,0.4188623152534029,1.646203179776744,1.0,20,0.3396333960907708,strong
12,0.5,0.8,0.0038457488734275104,0.02108119350858033,0.02708512028762313,0.000588135290890932,0.024984789956361057,0.0320772258064413,0.007103362455964089,0.017177597060799597,0.020934637960867742,-0.011142587845573555,-0.007807192895561459,fraction,25,0.2755621843348661,0.09539008786792019,2.8887926460075946,1.0,13,0.4140643039069666,strong
13,0.22,0.52,-0.01194791479036212,0.03769258556887507,0.04420714358277184,-0.041731606274843215,0.04251228965818882,0.04771998628848941,0.017835776694118975,0.03287288147956133,0.040389924438181284,-0.007330061850308128,-0.00963940817862749,fraction,25,0.9571471089801245,0.07397418636299363,12.938933917885542,1.0,29,0.4276847942707851,strong
14,0.26,0.76,0.0033485141536220907,0.026952235042117537,0.03157769309946337,0.0003223045449703932,0.026880978820845485,0.03244771136933136,0.006374723762273788,0.027023491263389588,0.03068301533194477,-0.00176469603738659,0.00014251244254410295,fraction,25,0.26248339046114433,0.09578855597272443,2.7402374719573586,1.0,19,0.41028938664961745,strong
15,0.82,0.92,-0.0036303002736531196,0.010597830684855581,0.015291525474925814,-0.003941511027514935,0.012304489240050316,0.01731119361522979,-0.003319089519791305,0.008891172129660846,0.012960867189993024,-0.004350326425236766,-0.003413317110389471,fraction,25,0.5115399365350135,0.4687358141659648,1.0913182246276856,1.0,24,0.32314005546062624,strong
16,0.7,0.98,-0.004374341594611906,0.010304994129019179,0.014151805124332308,-0.006928478627232834,0.012644533367129042,0.016620799748259727,-0.0018202045619909767,0.007965454890909314,0.011148820219305975,-0.005471979528953752,-0.004679078476219728,fraction,25,0.7286323671600917,0.35492719242215887,2.0529065755363116,1.0,21,0.33562466345522574,strong
17,0.52,0.94,-0.0040844118111999705,0.016016075566294603,0.020154411115640293,-0.0073312988225370645,0.02051660886965692,0.0244845155161007,-0.0008375247998628765,0.011515542262932285,0.014591404140051568,-0.00989311137604913,-0.009001066606724636,fraction,25,0.8644020344839589,0.18488678065360814,4.675304699601246,1.0,27,0.476677013100533,strong
18,0.76,1.0,-0.0051274371950421485,0.012064566250192001,0.016037902000348287,-0.004143160698004067,0.011024482059292495,0.013839357979842848,-0.0061117136920802295,0.013104650441091508,0.017969439942616777,0.004130081962773929,0.002080168381799013,fraction,25,0.3616326736262444,0.24922438330981095,1.4510324745259722,1.0,10,0.3415841346896821,strong
19,0.68,0.82,-0.0054188168427208435,0.014824427012936212,0.023486881705017944,-0.003851903225295246,0.021282076914794744,0.028199776447042517,-0.006985730460146442,0.00836677711107768,0.017551063579961165,-0.010648712867081352,-0.012915299803717063,fraction,25,0.9001988029243694,0.368795397919256,2.440916584109487,1.0,28,0.428293907369123,strong
20,0.66,0.84,-0.0018646365161384892,0.013929750282231907,0.02167653402245423,0.00010153001125217997,0.022107428404942765,0.029025633958238917,-0.0038308030435291584,0.005752072159521049,0.009861887637544803,-0.019163746320694112,-0.016355356245421716,fraction,25,0.8036136140844464,0.33642356578427857,2.3886959648948594,1.0,10,0.40399447180849707,strong
